2024-05-06 18:09:42 CPU Usage: 20.6% | Memory Usage: 22.79% | I/O Usage (read write): 3.38 8.90 | Docker Stats: CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O      PIDS
7cac5634af4e   rabbitmq              5.51%     98.13MiB / 512MiB     19.17%    794kB / 770kB     0B / 3.34MB     40
0d83340eb2a1   mysqlserver           0.05%     177.3MiB / 1GiB       17.32%    49.4kB / 50.3kB   0B / 13.1MB     37
bad4d64f3501   discoveryservice      0.55%     843.5MiB / 1GiB       82.37%    118kB / 112kB     0B / 971kB      63 | Load Average:  0.23, 1.57, 1.97 | Process Count: 312 | Network Usage:  | Disk I/O Latency: Read:3.38 Write:8.90 | Network Latency: Min:1.588/1.773/2.033/0.147 Avg:ms Max:
2024-05-06 18:10:06 CPU Usage: 37.1% | Memory Usage: 23.35% | I/O Usage (read write): 3.38 8.90 | Docker Stats: CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O       PIDS
58a77735eccd   edgeservice           15.77%    206MiB / 1GiB         20.12%    1.26MB / 1.52MB   0B / 1.22MB     39
893a597ee7e4   tripmanagementquery   8.09%     254.8MiB / 1GiB       24.88%    1.44MB / 625kB    0B / 1.8MB      59
a590ec851b1e   calculationservice    0.00%     2.906MiB / 1GiB       0.28%     37.8kB / 36.2kB   0B / 0B         6
ee7d2be91e49   tripmanagementcmd     22.04%    247.3MiB / 1GiB       24.15%    1.05MB / 2.99MB   0B / 2.38MB     53
542de0862de7   gmapsadapter          0.66%     50.04MiB / 1GiB       4.89%     342kB / 27.5kB    0B / 16.4kB     22
80cf21d912f2   notificationservice   0.00%     1.656MiB / 1GiB       0.16%     15.5kB / 10.1kB   0B / 0B         5
9bc901cb6181   userservice           0.37%     1.468GiB / 2GiB       73.41%    75.6kB / 58.7kB   0B / 1.84MB     40
4b76beba0bca   logstash              0.52%     483.2MiB / 31.34GiB   1.51%     11kB / 2.6kB      0B / 942kB      40
9d48986e2e38   kibana                4.23%     479.4MiB / 1GiB       46.81%    2.23MB / 4.61MB   0B / 8.19kB     12
169fc0d27e17   monitor               0.89%     530.5MiB / 2GiB       25.90%    265kB / 13.4kB    0B / 2.58MB     18
8e05f3f7005f   elasticsearch         3.33%     1.415GiB / 2GiB       70.77%    4.6MB / 2.14MB    0B / 4.44MB     87
8c8b2a42cbcb   mongo                 2.33%     37.22MiB / 1GiB       3.63%     1.83MB / 478kB    41kB / 2.98MB   22
7cac5634af4e   rabbitmq              2.69%     98.49MiB / 512MiB     19.24%    1.27MB / 1.24MB   0B / 3.34MB     40
0d83340eb2a1   mysqlserver           0.05%     177.3MiB / 1GiB       17.32%    49.4kB / 50.3kB   0B / 13.1MB     37
bad4d64f3501   discoveryservice      1.74%     841.6MiB / 1GiB       82.19%    121kB / 115kB     0B / 999kB      63 | Load Average:  0.29, 1.56, 1.96 | Process Count: 312 | Network Usage:  | Disk I/O Latency: Read:3.38 Write:8.90 | Network Latency: Min:1.333/1.546/1.746/0.140 Avg:ms Max:
2024-05-06 18:10:14 CPU Usage: 35.3% | Memory Usage: 23.35% | I/O Usage (read write): 3.38 8.90 | Docker Stats: CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O       PIDS
58a77735eccd   edgeservice           16.71%    207.3MiB / 1GiB       20.25%    1.88MB / 2.27MB   0B / 1.24MB     39
893a597ee7e4   tripmanagementquery   13.95%    255.7MiB / 1GiB       24.97%    2.05MB / 881kB    0B / 1.84MB     59
a590ec851b1e   calculationservice    0.00%     2.938MiB / 1GiB       0.29%     38.3kB / 36.7kB   0B / 0B         6
ee7d2be91e49   tripmanagementcmd     26.03%    249.7MiB / 1GiB       24.38%    1.49MB / 4.28MB   0B / 6.62MB     53
542de0862de7   gmapsadapter          0.00%     50.04MiB / 1GiB       4.89%     342kB / 27.5kB    0B / 16.4kB     22
80cf21d912f2   notificationservice   0.00%     1.656MiB / 1GiB       0.16%     15.6kB / 10.2kB   0B / 0B         5
9bc901cb6181   userservice           0.12%     1.468GiB / 2GiB       73.41%    75.6kB / 58.7kB   0B / 1.86MB     40
4b76beba0bca   logstash              0.52%     483.2MiB / 31.34GiB   1.51%     11kB / 2.6kB      0B / 954kB      40
9d48986e2e38   kibana                3.50%     479.4MiB / 1GiB       46.82%    2.23MB / 4.65MB   0B / 8.19kB     12
169fc0d27e17   monitor               0.71%     531.6MiB / 2GiB       25.96%    354kB / 17.4kB    0B / 2.61MB     18
8e05f3f7005f   elasticsearch         0.67%     1.415GiB / 2GiB       70.77%    4.64MB / 2.15MB   0B / 4.44MB     87
8c8b2a42cbcb   mongo                 2.93%     38.48MiB / 1GiB       3.76%     2.62MB / 668kB    41kB / 3.84MB   22
7cac5634af4e   rabbitmq              2.95%     99.04MiB / 512MiB     19.34%    1.81MB / 1.77MB   0B / 3.34MB     40
