2024-05-15 05:32:07 CPU Usage: 18.2% | Memory Usage: 25.52% | I/O Usage (read write): 3.45 8.27 | Docker Stats:  | Load Average:  0.21, 1.06, 1.56 | Process Count: 282 | Network Usage:  | Disk I/O Latency: Read:3.45 Write:8.27 | Network Latency: Min:1.538/1.785/2.094/0.188 Avg:ms Max:
2024-05-15 05:32:11 CPU Usage: 69.7% | Memory Usage: 25.54% | I/O Usage (read write): 3.45 8.27 | Docker Stats:  | Load Average:  0.21, 1.06, 1.56 | Process Count: 283 | Network Usage:  | Disk I/O Latency: Read:3.45 Write:8.27 | Network Latency: Min:1.359/1.693/2.013/0.264 Avg:ms Max:
2024-05-15 05:32:16 CPU Usage: 18.2% | Memory Usage: 25.56% | I/O Usage (read write): 3.45 8.27 | Docker Stats:  | Load Average:  0.20, 1.04, 1.55 | Process Count: 283 | Network Usage:  | Disk I/O Latency: Read:3.45 Write:8.27 | Network Latency: Min:1.435/1.622/1.749/0.104 Avg:ms Max:
2024-05-15 05:32:20 CPU Usage: 18.2% | Memory Usage: 25.56% | I/O Usage (read write): 3.45 8.27 | Docker Stats:  | Load Average:  0.18, 1.02, 1.54 | Process Count: 283 | Network Usage:  | Disk I/O Latency: Read:3.45 Write:8.27 | Network Latency: Min:1.487/1.664/1.956/0.176 Avg:ms Max:
2024-05-15 05:32:24 CPU Usage: 67.6% | Memory Usage: 25.57% | I/O Usage (read write): 3.45 8.27 | Docker Stats:  | Load Average:  0.25, 1.02, 1.53 | Process Count: 283 | Network Usage:  | Disk I/O Latency: Read:3.45 Write:8.27 | Network Latency: Min:1.406/1.723/1.978/0.218 Avg:ms Max:
2024-05-15 05:32:28 CPU Usage: 40.6% | Memory Usage: 25.57% | I/O Usage (read write): 3.45 8.27 | Docker Stats:  | Load Average:  0.47, 1.06, 1.54 | Process Count: 283 | Network Usage:  | Disk I/O Latency: Read:3.45 Write:8.27 | Network Latency: Min:1.279/1.625/1.938/0.234 Avg:ms Max:
2024-05-15 05:32:32 CPU Usage: 82.9% | Memory Usage: 25.57% | I/O Usage (read write): 3.45 8.27 | Docker Stats:  | Load Average:  0.43, 1.04, 1.53 | Process Count: 284 | Network Usage:  | Disk I/O Latency: Read:3.45 Write:8.27 | Network Latency: Min:1.486/1.690/2.310/0.312 Avg:ms Max:
2024-05-15 05:32:37 CPU Usage: 36.4% | Memory Usage: 25.58% | I/O Usage (read write): 3.45 8.27 | Docker Stats:  | Load Average:  0.39, 1.02, 1.53 | Process Count: 283 | Network Usage:  | Disk I/O Latency: Read:3.45 Write:8.27 | Network Latency: Min:1.404/1.474/1.589/0.062 Avg:ms Max:
2024-05-15 05:32:41 CPU Usage: 21.9% | Memory Usage: 25.60% | I/O Usage (read write): 3.45 8.27 | Docker Stats:  | Load Average:  0.39, 1.02, 1.53 | Process Count: 283 | Network Usage:  | Disk I/O Latency: Read:3.45 Write:8.27 | Network Latency: Min:1.260/1.538/1.643/0.142 Avg:ms Max:
2024-05-15 05:32:45 CPU Usage: 28.1% | Memory Usage: 25.61% | I/O Usage (read write): 3.45 8.27 | Docker Stats:  | Load Average:  0.36, 1.00, 1.52 | Process Count: 283 | Network Usage:  | Disk I/O Latency: Read:3.45 Write:8.27 | Network Latency: Min:1.595/1.728/2.035/0.172 Avg:ms Max:
2024-05-15 05:32:49 CPU Usage: 55.9% | Memory Usage: 25.59% | I/O Usage (read write): 3.45 8.27 | Docker Stats:  | Load Average:  0.33, 0.99, 1.51 | Process Count: 285 | Network Usage:  | Disk I/O Latency: Read:3.45 Write:8.27 | Network Latency: Min:1.365/1.470/1.572/0.079 Avg:ms Max:
