2024-05-15 05:25:08 CPU Usage: 15.2% | Memory Usage: 21.81% | I/O Usage (read write): 3.45 8.27 | Docker Stats:  | Load Average:  1.45, 2.32, 2.03 | Process Count: 285 | Network Usage:  | Disk I/O Latency: Read:3.45 Write:8.27 | Network Latency: Min:1.696/1.842/2.063/0.130 Avg:ms Max:
2024-05-15 05:25:12 CPU Usage: 39.4% | Memory Usage: 21.83% | I/O Usage (read write): 3.45 8.27 | Docker Stats:  | Load Average:  1.33, 2.28, 2.02 | Process Count: 286 | Network Usage:  | Disk I/O Latency: Read:3.45 Write:8.27 | Network Latency: Min:1.552/1.981/2.323/0.260 Avg:ms Max:
2024-05-15 05:25:16 CPU Usage: 93.9% | Memory Usage: 22.03% | I/O Usage (read write): 3.45 8.27 | Docker Stats:  | Load Average:  1.39, 2.28, 2.02 | Process Count: 286 | Network Usage:  | Disk I/O Latency: Read:3.45 Write:8.27 | Network Latency: Min:1.651/1.961/2.105/0.162 Avg:ms Max:
2024-05-15 05:25:21 CPU Usage: 75% | Memory Usage: 22.23% | I/O Usage (read write): 3.45 8.27 | Docker Stats:  | Load Average:  1.39, 2.28, 2.02 | Process Count: 286 | Network Usage:  | Disk I/O Latency: Read:3.45 Write:8.27 | Network Latency: Min:1.420/1.564/1.721/0.116 Avg:ms Max:
2024-05-15 05:25:25 CPU Usage: 78.8% | Memory Usage: 22.26% | I/O Usage (read write): 3.45 8.27 | Docker Stats:  | Load Average:  1.44, 2.27, 2.02 | Process Count: 287 | Network Usage:  | Disk I/O Latency: Read:3.45 Write:8.27 | Network Latency: Min:1.609/1.696/1.889/0.105 Avg:ms Max:
2024-05-15 05:25:29 CPU Usage: 59.5% | Memory Usage: 22.27% | I/O Usage (read write): 3.45 8.27 | Docker Stats:  | Load Average:  1.56, 2.29, 2.02 | Process Count: 286 | Network Usage:  | Disk I/O Latency: Read:3.45 Write:8.27 | Network Latency: Min:1.595/1.732/1.926/0.108 Avg:ms Max:
2024-05-15 05:25:33 CPU Usage: 67.7% | Memory Usage: 22.27% | I/O Usage (read write): 3.45 8.27 | Docker Stats:  | Load Average:  1.44, 2.25, 2.01 | Process Count: 286 | Network Usage:  | Disk I/O Latency: Read:3.45 Write:8.27 | Network Latency: Min:1.513/1.632/1.722/0.068 Avg:ms Max:
2024-05-15 05:25:38 CPU Usage: 48.5% | Memory Usage: 22.25% | I/O Usage (read write): 3.45 8.27 | Docker Stats:  | Load Average:  1.32, 2.21, 2.00 | Process Count: 286 | Network Usage:  | Disk I/O Latency: Read:3.45 Write:8.27 | Network Latency: Min:1.372/1.693/2.061/0.218 Avg:ms Max:
2024-05-15 05:25:42 CPU Usage: 47.1% | Memory Usage: 22.27% | I/O Usage (read write): 3.45 8.27 | Docker Stats:  | Load Average:  1.22, 2.17, 1.99 | Process Count: 286 | Network Usage:  | Disk I/O Latency: Read:3.45 Write:8.27 | Network Latency: Min:1.648/1.835/2.081/0.155 Avg:ms Max:
2024-05-15 05:25:46 CPU Usage: 42.4% | Memory Usage: 22.27% | I/O Usage (read write): 3.45 8.27 | Docker Stats:  | Load Average:  1.20, 2.15, 1.98 | Process Count: 286 | Network Usage:  | Disk I/O Latency: Read:3.45 Write:8.27 | Network Latency: Min:1.504/1.708/1.863/0.130 Avg:ms Max:
2024-05-15 05:25:50 CPU Usage: 75.8% | Memory Usage: 22.27% | I/O Usage (read write): 3.45 8.27 | Docker Stats:  | Load Average:  1.20, 2.15, 1.98 | Process Count: 286 | Network Usage:  | Disk I/O Latency: Read:3.45 Write:8.27 | Network Latency: Min:1.581/1.722/1.884/0.105 Avg:ms Max:
2024-05-15 05:25:55 CPU Usage: 36.4% | Memory Usage: 22.29% | I/O Usage (read write): 3.45 8.27 | Docker Stats:  | Load Average:  1.10, 2.12, 1.97 | Process Count: 286 | Network Usage:  | Disk I/O Latency: Read:3.45 Write:8.27 | Network Latency: Min:1.697/1.855/1.984/0.100 Avg:ms Max:
