2024-05-15 05:28:53 CPU Usage: 17.6% | Memory Usage: 25.41% | I/O Usage (read write): 3.45 8.27 | Docker Stats:  | Load Average:  0.62, 1.57, 1.79 | Process Count: 282 | Network Usage:  | Disk I/O Latency: Read:3.45 Write:8.27 | Network Latency: Min:1.739/1.944/2.097/0.135 Avg:ms Max:
2024-05-15 05:28:57 CPU Usage: 36.4% | Memory Usage: 25.42% | I/O Usage (read write): 3.45 8.27 | Docker Stats:  | Load Average:  0.57, 1.54, 1.78 | Process Count: 283 | Network Usage:  | Disk I/O Latency: Read:3.45 Write:8.27 | Network Latency: Min:1.503/1.819/2.087/0.243 Avg:ms Max:
2024-05-15 05:29:01 CPU Usage: 12.5% | Memory Usage: 25.45% | I/O Usage (read write): 3.45 8.27 | Docker Stats:  | Load Average:  0.53, 1.52, 1.77 | Process Count: 283 | Network Usage:  | Disk I/O Latency: Read:3.45 Write:8.27 | Network Latency: Min:1.188/1.619/1.856/0.245 Avg:ms Max:
2024-05-15 05:29:06 CPU Usage: 16.1% | Memory Usage: 25.45% | I/O Usage (read write): 3.45 8.27 | Docker Stats:  | Load Average:  0.53, 1.52, 1.77 | Process Count: 283 | Network Usage:  | Disk I/O Latency: Read:3.45 Write:8.27 | Network Latency: Min:1.477/1.657/1.870/0.149 Avg:ms Max:
2024-05-15 05:29:10 CPU Usage: 37.5% | Memory Usage: 25.46% | I/O Usage (read write): 3.45 8.27 | Docker Stats:  | Load Average:  0.81, 1.56, 1.78 | Process Count: 283 | Network Usage:  | Disk I/O Latency: Read:3.45 Write:8.27 | Network Latency: Min:1.409/1.704/1.892/0.180 Avg:ms Max:
2024-05-15 05:29:14 CPU Usage: 18.8% | Memory Usage: 25.47% | I/O Usage (read write): 3.45 8.27 | Docker Stats:  | Load Average:  0.82, 1.55, 1.78 | Process Count: 283 | Network Usage:  | Disk I/O Latency: Read:3.45 Write:8.27 | Network Latency: Min:1.399/1.692/2.018/0.196 Avg:ms Max:
2024-05-15 05:29:18 CPU Usage: 15.6% | Memory Usage: 25.50% | I/O Usage (read write): 3.45 8.27 | Docker Stats:  | Load Average:  0.76, 1.52, 1.77 | Process Count: 283 | Network Usage:  | Disk I/O Latency: Read:3.45 Write:8.27 | Network Latency: Min:1.276/1.604/1.853/0.207 Avg:ms Max:
2024-05-15 05:29:23 CPU Usage: 37.5% | Memory Usage: 25.50% | I/O Usage (read write): 3.45 8.27 | Docker Stats:  | Load Average:  0.69, 1.50, 1.76 | Process Count: 283 | Network Usage:  | Disk I/O Latency: Read:3.45 Write:8.27 | Network Latency: Min:1.319/1.520/1.785/0.178 Avg:ms Max:
2024-05-15 05:29:27 CPU Usage: 25.7% | Memory Usage: 25.51% | I/O Usage (read write): 3.45 8.27 | Docker Stats:  | Load Average:  0.64, 1.47, 1.75 | Process Count: 283 | Network Usage:  | Disk I/O Latency: Read:3.45 Write:8.27 | Network Latency: Min:1.467/1.627/1.799/0.115 Avg:ms Max:
2024-05-15 05:29:31 CPU Usage: 12.9% | Memory Usage: 25.52% | I/O Usage (read write): 3.45 8.27 | Docker Stats:  | Load Average:  0.64, 1.47, 1.75 | Process Count: 283 | Network Usage:  | Disk I/O Latency: Read:3.45 Write:8.27 | Network Latency: Min:1.363/1.712/1.893/0.188 Avg:ms Max:
2024-05-15 05:29:35 CPU Usage: 34.4% | Memory Usage: 25.52% | I/O Usage (read write): 3.45 8.27 | Docker Stats:  | Load Average:  0.59, 1.45, 1.74 | Process Count: 283 | Network Usage:  | Disk I/O Latency: Read:3.45 Write:8.27 | Network Latency: Min:1.441/1.676/1.893/0.194 Avg:ms Max:
2024-05-15 05:29:39 CPU Usage: 15.6% | Memory Usage: 25.52% | I/O Usage (read write): 3.45 8.27 | Docker Stats:  | Load Average:  1.50, 1.62, 1.80 | Process Count: 283 | Network Usage:  | Disk I/O Latency: Read:3.45 Write:8.27 | Network Latency: Min:1.429/1.614/1.819/0.163 Avg:ms Max:
2024-05-15 05:29:44 CPU Usage: 18.2% | Memory Usage: 25.52% | I/O Usage (read write): 3.45 8.27 | Docker Stats:  | Load Average:  1.38, 1.60, 1.79 | Process Count: 283 | Network Usage:  | Disk I/O Latency: Read:3.45 Write:8.27 | Network Latency: Min:1.446/1.541/1.754/0.111 Avg:ms Max:
2024-05-15 05:29:48 CPU Usage: 38.2% | Memory Usage: 25.51% | I/O Usage (read write): 3.45 8.27 | Docker Stats:  | Load Average:  1.27, 1.57, 1.78 | Process Count: 283 | Network Usage:  | Disk I/O Latency: Read:3.45 Write:8.27 | Network Latency: Min:1.586/1.816/2.108/0.237 Avg:ms Max:
2024-05-15 05:29:52 CPU Usage: 12.9% | Memory Usage: 25.51% | I/O Usage (read write): 3.45 8.27 | Docker Stats:  | Load Average:  1.41, 1.59, 1.78 | Process Count: 283 | Network Usage:  | Disk I/O Latency: Read:3.45 Write:8.27 | Network Latency: Min:1.563/1.748/2.112/0.203 Avg:ms Max:
2024-05-15 05:29:56 CPU Usage: 18.8% | Memory Usage: 25.51% | I/O Usage (read write): 3.45 8.27 | Docker Stats:  | Load Average:  1.30, 1.57, 1.77 | Process Count: 283 | Network Usage:  | Disk I/O Latency: Read:3.45 Write:8.27 | Network Latency: Min:1.499/1.683/1.862/0.144 Avg:ms Max:
2024-05-15 05:30:01 CPU Usage: 41.2% | Memory Usage: 25.54% | I/O Usage (read write): 3.45 8.27 | Docker Stats:  | Load Average:  1.30, 1.57, 1.77 | Process Count: 283 | Network Usage:  | Disk I/O Latency: Read:3.45 Write:8.27 | Network Latency: Min:1.469/1.784/2.100/0.238 Avg:ms Max:
2024-05-15 05:30:05 CPU Usage: 21.2% | Memory Usage: 25.55% | I/O Usage (read write): 3.45 8.27 | Docker Stats:  | Load Average:  1.19, 1.54, 1.76 | Process Count: 283 | Network Usage:  | Disk I/O Latency: Read:3.45 Write:8.27 | Network Latency: Min:1.456/1.649/1.923/0.187 Avg:ms Max:
2024-05-15 05:30:09 CPU Usage: 12.9% | Memory Usage: 25.57% | I/O Usage (read write): 3.45 8.27 | Docker Stats:  | Load Average:  1.10, 1.52, 1.75 | Process Count: 283 | Network Usage:  | Disk I/O Latency: Read:3.45 Write:8.27 | Network Latency: Min:1.523/1.592/1.664/0.057 Avg:ms Max:
2024-05-15 05:30:13 CPU Usage: 81.2% | Memory Usage: 25.57% | I/O Usage (read write): 3.45 8.27 | Docker Stats:  | Load Average:  1.09, 1.51, 1.75 | Process Count: 284 | Network Usage:  | Disk I/O Latency: Read:3.45 Write:8.27 | Network Latency: Min:1.329/1.606/1.860/0.191 Avg:ms Max:
2024-05-15 05:30:17 CPU Usage: 15.6% | Memory Usage: 25.58% | I/O Usage (read write): 3.45 8.27 | Docker Stats:  | Load Average:  1.00, 1.48, 1.74 | Process Count: 283 | Network Usage:  | Disk I/O Latency: Read:3.45 Write:8.27 | Network Latency: Min:1.555/1.796/2.075/0.166 Avg:ms Max:
2024-05-15 05:30:22 CPU Usage: 25% | Memory Usage: 25.58% | I/O Usage (read write): 3.45 8.27 | Docker Stats:  | Load Average:  0.92, 1.46, 1.73 | Process Count: 283 | Network Usage:  | Disk I/O Latency: Read:3.45 Write:8.27 | Network Latency: Min:1.553/1.713/1.998/0.176 Avg:ms Max:
2024-05-15 05:30:26 CPU Usage: 36.4% | Memory Usage: 25.58% | I/O Usage (read write): 3.45 8.27 | Docker Stats:  | Load Average:  0.92, 1.46, 1.73 | Process Count: 283 | Network Usage:  | Disk I/O Latency: Read:3.45 Write:8.27 | Network Latency: Min:1.483/1.701/1.924/0.161 Avg:ms Max:
2024-05-15 05:30:30 CPU Usage: 10% | Memory Usage: 25.60% | I/O Usage (read write): 3.45 8.27 | Docker Stats:  | Load Average:  1.01, 1.47, 1.73 | Process Count: 283 | Network Usage:  | Disk I/O Latency: Read:3.45 Write:8.27 | Network Latency: Min:1.356/1.576/2.024/0.237 Avg:ms Max:
2024-05-15 05:30:34 CPU Usage: 58.8% | Memory Usage: 25.60% | I/O Usage (read write): 3.45 8.27 | Docker Stats:  | Load Average:  0.93, 1.44, 1.72 | Process Count: 284 | Network Usage:  | Disk I/O Latency: Read:3.45 Write:8.27 | Network Latency: Min:1.413/1.681/1.772/0.135 Avg:ms Max:
2024-05-15 05:30:39 CPU Usage: 39.4% | Memory Usage: 25.60% | I/O Usage (read write): 3.45 8.27 | Docker Stats:  | Load Average:  0.85, 1.42, 1.71 | Process Count: 283 | Network Usage:  | Disk I/O Latency: Read:3.45 Write:8.27 | Network Latency: Min:1.697/1.955/2.341/0.226 Avg:ms Max:
