2024-05-15 05:34:51 CPU Usage: 16.1% | Memory Usage: 26.65% | I/O Usage (read write): 3.45 8.27 | Docker Stats:  | Load Average:  0.39, 0.77, 1.36 | Process Count: 281 | Network Usage:  | Disk I/O Latency: Read:3.45 Write:8.27 | Network Latency: Min:1.726/1.912/2.054/0.138 Avg:ms Max:
2024-05-15 05:34:55 CPU Usage: 28.1% | Memory Usage: 26.67% | I/O Usage (read write): 3.45 8.27 | Docker Stats:  | Load Average:  0.60, 0.81, 1.37 | Process Count: 282 | Network Usage:  | Disk I/O Latency: Read:3.45 Write:8.27 | Network Latency: Min:1.489/1.756/2.125/0.215 Avg:ms Max:
2024-05-15 05:34:59 CPU Usage: 77.1% | Memory Usage: 26.69% | I/O Usage (read write): 3.45 8.27 | Docker Stats:  | Load Average:  0.55, 0.80, 1.36 | Process Count: 282 | Network Usage:  | Disk I/O Latency: Read:3.45 Write:8.27 | Network Latency: Min:1.599/1.732/1.924/0.127 Avg:ms Max:
2024-05-15 05:35:03 CPU Usage: 84.4% | Memory Usage: 26.88% | I/O Usage (read write): 3.45 8.27 | Docker Stats:  | Load Average:  0.58, 0.80, 1.36 | Process Count: 283 | Network Usage:  | Disk I/O Latency: Read:3.45 Write:8.27 | Network Latency: Min:1.497/1.760/1.992/0.174 Avg:ms Max:
2024-05-15 05:35:08 CPU Usage: 80% | Memory Usage: 26.88% | I/O Usage (read write): 3.45 8.27 | Docker Stats:  | Load Average:  0.54, 0.79, 1.35 | Process Count: 283 | Network Usage:  | Disk I/O Latency: Read:3.45 Write:8.27 | Network Latency: Min:1.640/1.822/1.958/0.124 Avg:ms Max:
2024-05-15 05:35:12 CPU Usage: 85.7% | Memory Usage: 28.17% | I/O Usage (read write): 3.45 8.27 | Docker Stats:  | Load Average:  0.58, 0.79, 1.35 | Process Count: 283 | Network Usage:  | Disk I/O Latency: Read:3.45 Write:8.27 | Network Latency: Min:1.525/1.756/1.917/0.142 Avg:ms Max:
2024-05-15 05:35:16 CPU Usage: 75% | Memory Usage: 28.22% | I/O Usage (read write): 3.45 8.27 | Docker Stats:  | Load Average:  0.58, 0.79, 1.35 | Process Count: 283 | Network Usage:  | Disk I/O Latency: Read:3.45 Write:8.27 | Network Latency: Min:1.373/1.751/2.026/0.239 Avg:ms Max:
2024-05-15 05:35:20 CPU Usage: 54.5% | Memory Usage: 29.52% | I/O Usage (read write): 3.45 8.27 | Docker Stats:  | Load Average:  0.61, 0.79, 1.35 | Process Count: 283 | Network Usage:  | Disk I/O Latency: Read:3.45 Write:8.27 | Network Latency: Min:1.605/1.686/1.813/0.092 Avg:ms Max:
2024-05-15 05:35:25 CPU Usage: 66.7% | Memory Usage: 29.70% | I/O Usage (read write): 3.45 8.27 | Docker Stats:  | Load Average:  0.64, 0.80, 1.35 | Process Count: 284 | Network Usage:  | Disk I/O Latency: Read:3.45 Write:8.27 | Network Latency: Min:1.455/1.639/1.886/0.187 Avg:ms Max:
2024-05-15 05:35:29 CPU Usage: 45.7% | Memory Usage: 30.52% | I/O Usage (read write): 3.45 8.27 | Docker Stats:  | Load Average:  0.59, 0.78, 1.34 | Process Count: 283 | Network Usage:  | Disk I/O Latency: Read:3.45 Write:8.27 | Network Latency: Min:1.547/1.779/1.940/0.150 Avg:ms Max:
2024-05-15 05:35:33 CPU Usage: 46.9% | Memory Usage: 30.60% | I/O Usage (read write): 3.45 8.27 | Docker Stats:  | Load Average:  0.86, 0.84, 1.36 | Process Count: 283 | Network Usage:  | Disk I/O Latency: Read:3.45 Write:8.27 | Network Latency: Min:1.744/1.885/2.088/0.120 Avg:ms Max:
2024-05-15 05:35:37 CPU Usage: 80.6% | Memory Usage: 30.63% | I/O Usage (read write): 3.45 8.27 | Docker Stats:  | Load Average:  0.87, 0.84, 1.35 | Process Count: 283 | Network Usage:  | Disk I/O Latency: Read:3.45 Write:8.27 | Network Latency: Min:1.607/1.798/2.001/0.149 Avg:ms Max:
2024-05-15 05:35:42 CPU Usage: 39.4% | Memory Usage: 30.65% | I/O Usage (read write): 3.45 8.27 | Docker Stats:  | Load Average:  1.12, 0.89, 1.37 | Process Count: 283 | Network Usage:  | Disk I/O Latency: Read:3.45 Write:8.27 | Network Latency: Min:1.595/1.819/2.014/0.139 Avg:ms Max:
