2024-05-15 06:07:38 CPU Usage: 40% | Memory Usage: 32.17% | I/O Usage (read write): 3.45 8.26 | Docker Stats:  | Load Average:  0.95, 0.90, 1.15 | Process Count: 287 | Network Usage:  | Disk I/O Latency: Read:3.45 Write:8.26 | Network Latency: Min:1.463/1.632/1.904/0.167 Avg:ms Max:
2024-05-15 06:07:42 CPU Usage: 13.3% | Memory Usage: 32.18% | I/O Usage (read write): 3.45 8.26 | Docker Stats:  | Load Average:  0.95, 0.91, 1.15 | Process Count: 286 | Network Usage:  | Disk I/O Latency: Read:3.45 Write:8.26 | Network Latency: Min:1.470/1.682/1.861/0.149 Avg:ms Max:
2024-05-15 06:07:46 CPU Usage: 23.5% | Memory Usage: 32.18% | I/O Usage (read write): 3.45 8.26 | Docker Stats:  | Load Average:  1.36, 0.99, 1.18 | Process Count: 286 | Network Usage:  | Disk I/O Latency: Read:3.45 Write:8.26 | Network Latency: Min:1.644/1.769/1.875/0.092 Avg:ms Max:
2024-05-15 06:07:51 CPU Usage: 44.1% | Memory Usage: 32.18% | I/O Usage (read write): 3.45 8.26 | Docker Stats:  | Load Average:  1.25, 0.97, 1.17 | Process Count: 286 | Network Usage:  | Disk I/O Latency: Read:3.45 Write:8.26 | Network Latency: Min:1.404/1.575/1.935/0.188 Avg:ms Max:
2024-05-15 06:07:55 CPU Usage: 21.2% | Memory Usage: 32.19% | I/O Usage (read write): 3.45 8.26 | Docker Stats:  | Load Average:  1.15, 0.96, 1.17 | Process Count: 286 | Network Usage:  | Disk I/O Latency: Read:3.45 Write:8.26 | Network Latency: Min:1.366/1.770/2.038/0.256 Avg:ms Max:
2024-05-15 06:07:59 CPU Usage: 18.8% | Memory Usage: 32.18% | I/O Usage (read write): 3.45 8.26 | Docker Stats:  | Load Average:  1.06, 0.94, 1.16 | Process Count: 286 | Network Usage:  | Disk I/O Latency: Read:3.45 Write:8.26 | Network Latency: Min:1.403/1.508/1.815/0.155 Avg:ms Max:
2024-05-15 06:08:03 CPU Usage: 45.5% | Memory Usage: 32.24% | I/O Usage (read write): 3.45 8.26 | Docker Stats:  | Load Average:  1.13, 0.96, 1.16 | Process Count: 286 | Network Usage:  | Disk I/O Latency: Read:3.45 Write:8.26 | Network Latency: Min:1.637/1.774/1.911/0.094 Avg:ms Max:
2024-05-15 06:08:07 CPU Usage: 17.1% | Memory Usage: 32.41% | I/O Usage (read write): 3.45 8.26 | Docker Stats:  | Load Average:  1.13, 0.96, 1.16 | Process Count: 286 | Network Usage:  | Disk I/O Latency: Read:3.45 Write:8.26 | Network Latency: Min:1.455/1.653/1.787/0.128 Avg:ms Max:
2024-05-15 06:08:12 CPU Usage: 21.9% | Memory Usage: 32.45% | I/O Usage (read write): 3.45 8.26 | Docker Stats:  | Load Average:  1.04, 0.94, 1.16 | Process Count: 286 | Network Usage:  | Disk I/O Latency: Read:3.45 Write:8.26 | Network Latency: Min:1.489/1.666/1.756/0.096 Avg:ms Max:
2024-05-15 06:08:16 CPU Usage: 88.6% | Memory Usage: 32.45% | I/O Usage (read write): 3.45 8.26 | Docker Stats:  | Load Average:  0.96, 0.93, 1.15 | Process Count: 287 | Network Usage:  | Disk I/O Latency: Read:3.45 Write:8.26 | Network Latency: Min:1.453/1.638/1.803/0.132 Avg:ms Max:
2024-05-15 06:08:20 CPU Usage: 25% | Memory Usage: 32.48% | I/O Usage (read write): 3.45 8.26 | Docker Stats:  | Load Average:  0.88, 0.91, 1.14 | Process Count: 286 | Network Usage:  | Disk I/O Latency: Read:3.45 Write:8.26 | Network Latency: Min:1.539/1.690/2.013/0.167 Avg:ms Max:
