2024-05-14 19:58:55 CPU Usage: 29% | Memory Usage: 23.50% | I/O Usage (read write): 3.37 8.28 | Docker Stats:  | Load Average:  2.83, 3.20, 2.16 | Process Count: 284 | Network Usage:  | Disk I/O Latency: Read:3.37 Write:8.28 | Network Latency: Min:1.424/1.675/1.955/0.177 Avg:ms Max:
2024-05-14 19:59:00 CPU Usage: 29% | Memory Usage: 23.96% | I/O Usage (read write): 3.37 8.28 | Docker Stats:  | Load Average:  3.09, 3.25, 2.18 | Process Count: 284 | Network Usage:  | Disk I/O Latency: Read:3.37 Write:8.28 | Network Latency: Min:1.424/1.641/1.931/0.179 Avg:ms Max:
2024-05-14 19:59:05 CPU Usage: 38.7% | Memory Usage: 24.50% | I/O Usage (read write): 3.37 8.27 | Docker Stats:  | Load Average:  3.08, 3.24, 2.19 | Process Count: 284 | Network Usage:  | Disk I/O Latency: Read:3.37 Write:8.27 | Network Latency: Min:1.437/1.632/1.815/0.121 Avg:ms Max:
2024-05-14 19:59:11 CPU Usage: 31.2% | Memory Usage: 24.84% | I/O Usage (read write): 3.37 8.27 | Docker Stats:  | Load Average:  2.91, 3.21, 2.18 | Process Count: 284 | Network Usage:  | Disk I/O Latency: Read:3.37 Write:8.27 | Network Latency: Min:1.421/1.611/1.806/0.145 Avg:ms Max:
2024-05-14 19:59:16 CPU Usage: 75.8% | Memory Usage: 25.02% | I/O Usage (read write): 3.37 8.27 | Docker Stats:  | Load Average:  2.84, 3.19, 2.18 | Process Count: 285 | Network Usage:  | Disk I/O Latency: Read:3.37 Write:8.27 | Network Latency: Min:1.437/1.662/1.817/0.126 Avg:ms Max:
2024-05-14 19:59:21 CPU Usage: 28.1% | Memory Usage: 25.21% | I/O Usage (read write): 3.37 8.27 | Docker Stats:  | Load Average:  2.69, 3.15, 2.17 | Process Count: 284 | Network Usage:  | Disk I/O Latency: Read:3.37 Write:8.27 | Network Latency: Min:1.655/1.743/1.891/0.087 Avg:ms Max:
2024-05-14 19:59:26 CPU Usage: 68.6% | Memory Usage: 25.37% | I/O Usage (read write): 3.37 8.27 | Docker Stats:  | Load Average:  2.56, 3.11, 2.17 | Process Count: 284 | Network Usage:  | Disk I/O Latency: Read:3.37 Write:8.27 | Network Latency: Min:1.496/1.626/1.781/0.112 Avg:ms Max:
2024-05-14 19:59:32 CPU Usage: 30.3% | Memory Usage: 25.45% | I/O Usage (read write): 3.37 8.27 | Docker Stats:  | Load Average:  2.43, 3.08, 2.16 | Process Count: 284 | Network Usage:  | Disk I/O Latency: Read:3.37 Write:8.27 | Network Latency: Min:1.459/1.739/2.111/0.295 Avg:ms Max:
2024-05-14 19:59:37 CPU Usage: 28.1% | Memory Usage: 25.47% | I/O Usage (read write): 3.37 8.27 | Docker Stats:  | Load Average:  2.24, 3.03, 2.15 | Process Count: 284 | Network Usage:  | Disk I/O Latency: Read:3.37 Write:8.27 | Network Latency: Min:1.466/1.595/1.736/0.111 Avg:ms Max:
2024-05-14 19:59:42 CPU Usage: 27.3% | Memory Usage: 25.49% | I/O Usage (read write): 3.37 8.27 | Docker Stats:  | Load Average:  2.14, 2.99, 2.14 | Process Count: 283 | Network Usage:  | Disk I/O Latency: Read:3.37 Write:8.27 | Network Latency: Min:1.429/1.546/1.716/0.094 Avg:ms Max:
2024-05-14 19:59:47 CPU Usage: 18.2% | Memory Usage: 25.49% | I/O Usage (read write): 3.37 8.27 | Docker Stats:  | Load Average:  2.21, 2.99, 2.15 | Process Count: 284 | Network Usage:  | Disk I/O Latency: Read:3.37 Write:8.27 | Network Latency: Min:1.400/1.571/1.898/0.179 Avg:ms Max:
2024-05-14 19:59:52 CPU Usage: 37.5% | Memory Usage: 25.51% | I/O Usage (read write): 3.37 8.27 | Docker Stats:  | Load Average:  2.03, 2.94, 2.13 | Process Count: 285 | Network Usage:  | Disk I/O Latency: Read:3.37 Write:8.27 | Network Latency: Min:1.274/1.628/1.975/0.236 Avg:ms Max:
2024-05-14 19:59:58 CPU Usage: 64.7% | Memory Usage: 25.54% | I/O Usage (read write): 3.37 8.27 | Docker Stats:  | Load Average:  1.87, 2.89, 2.12 | Process Count: 284 | Network Usage:  | Disk I/O Latency: Read:3.37 Write:8.27 | Network Latency: Min:1.405/1.638/2.044/0.234 Avg:ms Max:
2024-05-14 20:00:03 CPU Usage: 23.5% | Memory Usage: 25.54% | I/O Usage (read write): 3.37 8.27 | Docker Stats:  | Load Average:  1.80, 2.86, 2.12 | Process Count: 284 | Network Usage:  | Disk I/O Latency: Read:3.37 Write:8.27 | Network Latency: Min:1.529/1.654/1.838/0.120 Avg:ms Max:
2024-05-14 20:00:08 CPU Usage: 12.9% | Memory Usage: 25.53% | I/O Usage (read write): 3.37 8.27 | Docker Stats:  | Load Average:  2.05, 2.90, 2.13 | Process Count: 282 | Network Usage:  | Disk I/O Latency: Read:3.37 Write:8.27 | Network Latency: Min:1.363/1.471/1.679/0.115 Avg:ms Max:
2024-05-14 20:00:13 CPU Usage: 15.6% | Memory Usage: 25.55% | I/O Usage (read write): 3.37 8.27 | Docker Stats:  | Load Average:  1.89, 2.85, 2.12 | Process Count: 281 | Network Usage:  | Disk I/O Latency: Read:3.37 Write:8.27 | Network Latency: Min:1.315/1.658/2.003/0.250 Avg:ms Max:
2024-05-14 20:00:19 CPU Usage: 12.9% | Memory Usage: 25.56% | I/O Usage (read write): 3.37 8.27 | Docker Stats:  | Load Average:  1.74, 2.80, 2.11 | Process Count: 281 | Network Usage:  | Disk I/O Latency: Read:3.37 Write:8.27 | Network Latency: Min:1.469/1.528/1.616/0.060 Avg:ms Max:
2024-05-14 20:00:24 CPU Usage: 24.2% | Memory Usage: 25.56% | I/O Usage (read write): 3.37 8.27 | Docker Stats:  | Load Average:  1.84, 2.81, 2.11 | Process Count: 281 | Network Usage:  | Disk I/O Latency: Read:3.37 Write:8.27 | Network Latency: Min:1.574/1.756/1.948/0.156 Avg:ms Max:
2024-05-14 20:00:29 CPU Usage: 35.1% | Memory Usage: 25.57% | I/O Usage (read write): 3.37 8.27 | Docker Stats:  | Load Average:  1.63, 2.73, 2.10 | Process Count: 282 | Network Usage:  | Disk I/O Latency: Read:3.37 Write:8.27 | Network Latency: Min:1.347/1.582/1.837/0.188 Avg:ms Max:
2024-05-14 20:00:34 CPU Usage: 43.8% | Memory Usage: 25.56% | I/O Usage (read write): 3.37 8.27 | Docker Stats:  | Load Average:  1.50, 2.68, 2.08 | Process Count: 280 | Network Usage:  | Disk I/O Latency: Read:3.37 Write:8.27 | Network Latency: Min:1.461/1.580/1.859/0.142 Avg:ms Max:
2024-05-14 20:00:39 CPU Usage: 12.9% | Memory Usage: 25.56% | I/O Usage (read write): 3.37 8.27 | Docker Stats:  | Load Average:  1.46, 2.66, 2.08 | Process Count: 281 | Network Usage:  | Disk I/O Latency: Read:3.37 Write:8.27 | Network Latency: Min:1.390/1.656/1.837/0.168 Avg:ms Max:
2024-05-14 20:00:45 CPU Usage: 15.6% | Memory Usage: 25.57% | I/O Usage (read write): 3.37 8.27 | Docker Stats:  | Load Average:  1.42, 2.63, 2.07 | Process Count: 281 | Network Usage:  | Disk I/O Latency: Read:3.37 Write:8.27 | Network Latency: Min:1.280/1.555/1.823/0.183 Avg:ms Max:
2024-05-14 20:00:50 CPU Usage: 17.6% | Memory Usage: 25.57% | I/O Usage (read write): 3.37 8.27 | Docker Stats:  | Load Average:  1.31, 2.58, 2.06 | Process Count: 276 | Network Usage:  | Disk I/O Latency: Read:3.37 Write:8.27 | Network Latency: Min:1.399/1.530/1.755/0.126 Avg:ms Max:
2024-05-14 20:00:55 CPU Usage: 15.6% | Memory Usage: 25.58% | I/O Usage (read write): 3.37 8.27 | Docker Stats:  | Load Average:  1.28, 2.56, 2.06 | Process Count: 277 | Network Usage:  | Disk I/O Latency: Read:3.37 Write:8.27 | Network Latency: Min:1.358/1.789/2.016/0.237 Avg:ms Max:
2024-05-14 20:01:00 CPU Usage: 15.6% | Memory Usage: 25.59% | I/O Usage (read write): 3.37 8.27 | Docker Stats:  | Load Average:  1.18, 2.51, 2.04 | Process Count: 277 | Network Usage:  | Disk I/O Latency: Read:3.37 Write:8.27 | Network Latency: Min:1.251/1.654/1.910/0.264 Avg:ms Max:
2024-05-14 20:01:06 CPU Usage: 15.2% | Memory Usage: 25.58% | I/O Usage (read write): 3.37 8.27 | Docker Stats:  | Load Average:  1.33, 2.52, 2.05 | Process Count: 278 | Network Usage:  | Disk I/O Latency: Read:3.37 Write:8.27 | Network Latency: Min:1.389/1.657/2.164/0.274 Avg:ms Max:
2024-05-14 20:01:11 CPU Usage: 62.5% | Memory Usage: 25.59% | I/O Usage (read write): 3.37 8.27 | Docker Stats:  | Load Average:  1.22, 2.48, 2.04 | Process Count: 278 | Network Usage:  | Disk I/O Latency: Read:3.37 Write:8.27 | Network Latency: Min:1.331/1.555/1.808/0.189 Avg:ms Max:
2024-05-14 20:01:16 CPU Usage: 27.3% | Memory Usage: 25.59% | I/O Usage (read write): 3.37 8.27 | Docker Stats:  | Load Average:  1.12, 2.44, 2.03 | Process Count: 277 | Network Usage:  | Disk I/O Latency: Read:3.37 Write:8.27 | Network Latency: Min:1.461/1.667/1.772/0.113 Avg:ms Max:
2024-05-14 20:01:21 CPU Usage: 20.6% | Memory Usage: 25.63% | I/O Usage (read write): 3.37 8.27 | Docker Stats:  | Load Average:  1.11, 2.42, 2.02 | Process Count: 278 | Network Usage:  | Disk I/O Latency: Read:3.37 Write:8.27 | Network Latency: Min:1.358/1.616/1.725/0.134 Avg:ms Max:
2024-05-14 20:01:27 CPU Usage: 20.6% | Memory Usage: 25.68% | I/O Usage (read write): 3.37 8.27 | Docker Stats:  | Load Average:  1.02, 2.37, 2.01 | Process Count: 278 | Network Usage:  | Disk I/O Latency: Read:3.37 Write:8.27 | Network Latency: Min:1.533/1.727/1.896/0.139 Avg:ms Max:
2024-05-14 20:01:32 CPU Usage: 15.6% | Memory Usage: 25.85% | I/O Usage (read write): 3.37 8.27 | Docker Stats:  | Load Average:  0.94, 2.34, 2.00 | Process Count: 278 | Network Usage:  | Disk I/O Latency: Read:3.37 Write:8.27 | Network Latency: Min:1.298/1.498/1.864/0.227 Avg:ms Max:
2024-05-14 20:01:37 CPU Usage: 15.6% | Memory Usage: 26.07% | I/O Usage (read write): 3.37 8.27 | Docker Stats:  | Load Average:  1.02, 2.33, 2.00 | Process Count: 278 | Network Usage:  | Disk I/O Latency: Read:3.37 Write:8.27 | Network Latency: Min:1.373/1.598/1.907/0.194 Avg:ms Max:
2024-05-14 20:01:42 CPU Usage: 12.5% | Memory Usage: 26.27% | I/O Usage (read write): 3.37 8.27 | Docker Stats:  | Load Average:  0.94, 2.29, 1.99 | Process Count: 277 | Network Usage:  | Disk I/O Latency: Read:3.37 Write:8.27 | Network Latency: Min:1.426/1.552/1.766/0.116 Avg:ms Max:
2024-05-14 20:01:47 CPU Usage: 15.6% | Memory Usage: 26.51% | I/O Usage (read write): 3.37 8.27 | Docker Stats:  | Load Average:  0.87, 2.25, 1.98 | Process Count: 278 | Network Usage:  | Disk I/O Latency: Read:3.37 Write:8.27 | Network Latency: Min:1.581/1.668/1.775/0.076 Avg:ms Max:
2024-05-14 20:01:53 CPU Usage: 15.2% | Memory Usage: 26.68% | I/O Usage (read write): 3.37 8.27 | Docker Stats:  | Load Average:  0.88, 2.23, 1.97 | Process Count: 278 | Network Usage:  | Disk I/O Latency: Read:3.37 Write:8.27 | Network Latency: Min:1.297/1.635/1.913/0.252 Avg:ms Max:
2024-05-14 20:01:58 CPU Usage: 53.1% | Memory Usage: 26.89% | I/O Usage (read write): 3.37 8.27 | Docker Stats:  | Load Average:  0.81, 2.19, 1.96 | Process Count: 278 | Network Usage:  | Disk I/O Latency: Read:3.37 Write:8.27 | Network Latency: Min:1.449/1.570/1.746/0.113 Avg:ms Max:
2024-05-14 20:02:03 CPU Usage: 15.6% | Memory Usage: 27.12% | I/O Usage (read write): 3.37 8.27 | Docker Stats:  | Load Average:  0.74, 2.16, 1.95 | Process Count: 278 | Network Usage:  | Disk I/O Latency: Read:3.37 Write:8.27 | Network Latency: Min:1.556/1.694/1.881/0.127 Avg:ms Max:
2024-05-14 20:02:08 CPU Usage: 60.6% | Memory Usage: 27.29% | I/O Usage (read write): 3.37 8.27 | Docker Stats:  | Load Average:  0.68, 2.12, 1.94 | Process Count: 278 | Network Usage:  | Disk I/O Latency: Read:3.37 Write:8.27 | Network Latency: Min:1.589/1.792/2.146/0.213 Avg:ms Max:
2024-05-14 20:02:13 CPU Usage: 15.2% | Memory Usage: 27.32% | I/O Usage (read write): 3.37 8.27 | Docker Stats:  | Load Average:  0.63, 2.09, 1.93 | Process Count: 278 | Network Usage:  | Disk I/O Latency: Read:3.37 Write:8.27 | Network Latency: Min:1.309/1.648/2.033/0.231 Avg:ms Max:
2024-05-14 20:02:19 CPU Usage: 58.8% | Memory Usage: 27.34% | I/O Usage (read write): 3.37 8.27 | Docker Stats:  | Load Average:  0.58, 2.05, 1.92 | Process Count: 279 | Network Usage:  | Disk I/O Latency: Read:3.37 Write:8.27 | Network Latency: Min:1.563/1.656/1.785/0.074 Avg:ms Max:
2024-05-14 20:02:24 CPU Usage: 9.7% | Memory Usage: 27.36% | I/O Usage (read write): 3.37 8.27 | Docker Stats:  | Load Average:  0.69, 2.05, 1.92 | Process Count: 277 | Network Usage:  | Disk I/O Latency: Read:3.37 Write:8.27 | Network Latency: Min:1.413/1.628/1.730/0.114 Avg:ms Max:
2024-05-14 20:02:29 CPU Usage: 15.2% | Memory Usage: 27.36% | I/O Usage (read write): 3.37 8.27 | Docker Stats:  | Load Average:  0.58, 1.98, 1.90 | Process Count: 278 | Network Usage:  | Disk I/O Latency: Read:3.37 Write:8.27 | Network Latency: Min:1.290/1.665/1.914/0.207 Avg:ms Max:
2024-05-14 20:02:34 CPU Usage: 15.2% | Memory Usage: 27.38% | I/O Usage (read write): 3.37 8.27 | Docker Stats:  | Load Average:  0.54, 1.95, 1.89 | Process Count: 278 | Network Usage:  | Disk I/O Latency: Read:3.37 Write:8.27 | Network Latency: Min:1.554/1.706/1.922/0.142 Avg:ms Max:
2024-05-14 20:02:40 CPU Usage: 23.5% | Memory Usage: 27.38% | I/O Usage (read write): 3.37 8.27 | Docker Stats:  | Load Average:  0.49, 1.92, 1.88 | Process Count: 278 | Network Usage:  | Disk I/O Latency: Read:3.37 Write:8.27 | Network Latency: Min:1.339/1.606/1.867/0.195 Avg:ms Max:
2024-05-14 20:02:45 CPU Usage: 9.7% | Memory Usage: 27.39% | I/O Usage (read write): 3.37 8.27 | Docker Stats:  | Load Average:  0.45, 1.88, 1.87 | Process Count: 278 | Network Usage:  | Disk I/O Latency: Read:3.37 Write:8.27 | Network Latency: Min:1.470/1.711/1.913/0.164 Avg:ms Max:
2024-05-14 20:02:50 CPU Usage: 6.7% | Memory Usage: 27.39% | I/O Usage (read write): 3.37 8.27 | Docker Stats:  | Load Average:  0.42, 1.85, 1.86 | Process Count: 277 | Network Usage:  | Disk I/O Latency: Read:3.37 Write:8.27 | Network Latency: Min:1.498/1.748/2.027/0.185 Avg:ms Max:
2024-05-14 20:02:55 CPU Usage: 15.2% | Memory Usage: 27.39% | I/O Usage (read write): 3.37 8.27 | Docker Stats:  | Load Average:  0.38, 1.82, 1.85 | Process Count: 278 | Network Usage:  | Disk I/O Latency: Read:3.37 Write:8.27 | Network Latency: Min:1.528/1.683/1.926/0.136 Avg:ms Max:
2024-05-14 20:03:00 CPU Usage: 12.5% | Memory Usage: 27.39% | I/O Usage (read write): 3.37 8.27 | Docker Stats:  | Load Average:  0.35, 1.79, 1.84 | Process Count: 278 | Network Usage:  | Disk I/O Latency: Read:3.37 Write:8.27 | Network Latency: Min:1.265/1.647/1.980/0.255 Avg:ms Max:
2024-05-14 20:03:06 CPU Usage: 18.2% | Memory Usage: 27.40% | I/O Usage (read write): 3.37 8.27 | Docker Stats:  | Load Average:  0.32, 1.76, 1.83 | Process Count: 278 | Network Usage:  | Disk I/O Latency: Read:3.37 Write:8.27 | Network Latency: Min:1.275/1.473/1.787/0.187 Avg:ms Max:
2024-05-14 20:03:11 CPU Usage: 15.2% | Memory Usage: 27.40% | I/O Usage (read write): 3.37 8.27 | Docker Stats:  | Load Average:  0.38, 1.75, 1.82 | Process Count: 278 | Network Usage:  | Disk I/O Latency: Read:3.37 Write:8.27 | Network Latency: Min:1.521/1.781/2.059/0.173 Avg:ms Max:
2024-05-14 20:03:16 CPU Usage: 100% | Memory Usage: 27.40% | I/O Usage (read write): 3.37 8.27 | Docker Stats:  | Load Average:  0.91, 1.84, 1.85 | Process Count: 277 | Network Usage:  | Disk I/O Latency: Read:3.37 Write:8.27 | Network Latency: Min:1.447/1.713/1.992/0.184 Avg:ms Max:
2024-05-14 20:03:21 CPU Usage: 66.7% | Memory Usage: 27.40% | I/O Usage (read write): 3.37 8.27 | Docker Stats:  | Load Average:  1.08, 1.86, 1.86 | Process Count: 278 | Network Usage:  | Disk I/O Latency: Read:3.37 Write:8.27 | Network Latency: Min:1.464/1.576/1.752/0.109 Avg:ms Max:
2024-05-14 20:03:27 CPU Usage: 57.6% | Memory Usage: 28.24% | I/O Usage (read write): 3.37 8.27 | Docker Stats:  | Load Average:  1.15, 1.86, 1.86 | Process Count: 278 | Network Usage:  | Disk I/O Latency: Read:3.37 Write:8.27 | Network Latency: Min:1.334/1.557/1.851/0.168 Avg:ms Max:
2024-05-14 20:03:32 CPU Usage: 52.9% | Memory Usage: 28.97% | I/O Usage (read write): 3.37 8.27 | Docker Stats:  | Load Average:  1.22, 1.86, 1.86 | Process Count: 278 | Network Usage:  | Disk I/O Latency: Read:3.37 Write:8.27 | Network Latency: Min:1.510/1.649/1.718/0.077 Avg:ms Max:
2024-05-14 20:03:37 CPU Usage: 51.5% | Memory Usage: 29.79% | I/O Usage (read write): 3.37 8.27 | Docker Stats:  | Load Average:  1.20, 1.85, 1.85 | Process Count: 278 | Network Usage:  | Disk I/O Latency: Read:3.37 Write:8.27 | Network Latency: Min:1.562/1.849/2.106/0.210 Avg:ms Max:
2024-05-14 20:03:42 CPU Usage: 81.8% | Memory Usage: 30.32% | I/O Usage (read write): 3.37 8.27 | Docker Stats:  | Load Average:  1.27, 1.85, 1.85 | Process Count: 278 | Network Usage:  | Disk I/O Latency: Read:3.37 Write:8.27 | Network Latency: Min:1.536/1.803/2.018/0.164 Avg:ms Max:
2024-05-14 20:03:48 CPU Usage: 64.9% | Memory Usage: 30.76% | I/O Usage (read write): 3.37 8.27 | Docker Stats:  | Load Average:  1.24, 1.83, 1.85 | Process Count: 280 | Network Usage:  | Disk I/O Latency: Read:3.37 Write:8.27 | Network Latency: Min:1.609/1.744/1.908/0.109 Avg:ms Max:
2024-05-14 20:03:53 CPU Usage: 85.7% | Memory Usage: 31.14% | I/O Usage (read write): 3.37 8.27 | Docker Stats:  | Load Average:  1.22, 1.82, 1.84 | Process Count: 279 | Network Usage:  | Disk I/O Latency: Read:3.37 Write:8.27 | Network Latency: Min:1.367/1.704/1.993/0.243 Avg:ms Max:
2024-05-14 20:03:58 CPU Usage: 81.8% | Memory Usage: 31.53% | I/O Usage (read write): 3.37 8.27 | Docker Stats:  | Load Average:  1.21, 1.81, 1.84 | Process Count: 278 | Network Usage:  | Disk I/O Latency: Read:3.37 Write:8.27 | Network Latency: Min:1.439/1.637/1.834/0.139 Avg:ms Max:
2024-05-14 20:04:03 CPU Usage: 80% | Memory Usage: 32.02% | I/O Usage (read write): 3.37 8.27 | Docker Stats:  | Load Average:  1.19, 1.79, 1.83 | Process Count: 278 | Network Usage:  | Disk I/O Latency: Read:3.37 Write:8.27 | Network Latency: Min:1.344/1.701/2.134/0.257 Avg:ms Max:
2024-05-14 20:04:09 CPU Usage: 52.9% | Memory Usage: 32.16% | I/O Usage (read write): 3.37 8.27 | Docker Stats:  | Load Average:  1.17, 1.78, 1.83 | Process Count: 278 | Network Usage:  | Disk I/O Latency: Read:3.37 Write:8.27 | Network Latency: Min:1.445/1.662/1.750/0.110 Avg:ms Max:
2024-05-14 20:04:14 CPU Usage: 46.7% | Memory Usage: 32.18% | I/O Usage (read write): 3.37 8.27 | Docker Stats:  | Load Average:  1.16, 1.77, 1.82 | Process Count: 278 | Network Usage:  | Disk I/O Latency: Read:3.37 Write:8.27 | Network Latency: Min:1.272/1.553/1.839/0.221 Avg:ms Max:
2024-05-14 20:04:19 CPU Usage: 51.5% | Memory Usage: 32.19% | I/O Usage (read write): 3.37 8.27 | Docker Stats:  | Load Average:  1.15, 1.75, 1.82 | Process Count: 278 | Network Usage:  | Disk I/O Latency: Read:3.37 Write:8.27 | Network Latency: Min:1.722/1.853/2.044/0.120 Avg:ms Max:
