2024-05-15 05:16:32 CPU Usage: 21.2% | Memory Usage: 27.13% | I/O Usage (read write): 3.44 8.27 | Docker Stats:  | Load Average:  0.81, 1.55, 1.76 | Process Count: 319 | Network Usage:  | Disk I/O Latency: Read:3.44 Write:8.27 | Network Latency: Min:1.545/1.714/1.991/0.166 Avg:ms Max:
2024-05-15 05:16:37 CPU Usage: 35.3% | Memory Usage: 27.15% | I/O Usage (read write): 3.44 8.27 | Docker Stats:  | Load Average:  0.74, 1.52, 1.75 | Process Count: 320 | Network Usage:  | Disk I/O Latency: Read:3.44 Write:8.27 | Network Latency: Min:1.402/1.726/1.861/0.169 Avg:ms Max:
2024-05-15 05:16:41 CPU Usage: 35.5% | Memory Usage: 27.14% | I/O Usage (read write): 3.44 8.27 | Docker Stats:  | Load Average:  0.76, 1.51, 1.74 | Process Count: 320 | Network Usage:  | Disk I/O Latency: Read:3.44 Write:8.27 | Network Latency: Min:1.653/1.828/2.178/0.212 Avg:ms Max:
2024-05-15 05:16:45 CPU Usage: 23.5% | Memory Usage: 27.15% | I/O Usage (read write): 3.44 8.27 | Docker Stats:  | Load Average:  0.76, 1.51, 1.74 | Process Count: 320 | Network Usage:  | Disk I/O Latency: Read:3.44 Write:8.27 | Network Latency: Min:1.385/1.609/1.777/0.143 Avg:ms Max:
2024-05-15 05:16:49 CPU Usage: 75.8% | Memory Usage: 27.16% | I/O Usage (read write): 3.44 8.27 | Docker Stats:  | Load Average:  0.70, 1.49, 1.73 | Process Count: 320 | Network Usage:  | Disk I/O Latency: Read:3.44 Write:8.27 | Network Latency: Min:1.237/1.665/1.903/0.248 Avg:ms Max:
2024-05-15 05:16:54 CPU Usage: 26.7% | Memory Usage: 27.16% | I/O Usage (read write): 3.44 8.27 | Docker Stats:  | Load Average:  0.64, 1.46, 1.72 | Process Count: 320 | Network Usage:  | Disk I/O Latency: Read:3.44 Write:8.27 | Network Latency: Min:1.414/1.726/2.029/0.234 Avg:ms Max:
2024-05-15 05:16:58 CPU Usage: 18.8% | Memory Usage: 27.17% | I/O Usage (read write): 3.44 8.27 | Docker Stats:  | Load Average:  0.59, 1.44, 1.71 | Process Count: 320 | Network Usage:  | Disk I/O Latency: Read:3.44 Write:8.27 | Network Latency: Min:1.343/1.628/1.725/0.143 Avg:ms Max:
2024-05-15 05:17:02 CPU Usage: 48.5% | Memory Usage: 27.16% | I/O Usage (read write): 3.44 8.27 | Docker Stats:  | Load Average:  0.63, 1.43, 1.71 | Process Count: 320 | Network Usage:  | Disk I/O Latency: Read:3.44 Write:8.27 | Network Latency: Min:1.430/1.675/2.136/0.258 Avg:ms Max:
2024-05-15 05:17:06 CPU Usage: 80.6% | Memory Usage: 27.17% | I/O Usage (read write): 3.44 8.27 | Docker Stats:  | Load Average:  0.90, 1.48, 1.72 | Process Count: 321 | Network Usage:  | Disk I/O Latency: Read:3.44 Write:8.27 | Network Latency: Min:1.685/1.766/1.905/0.088 Avg:ms Max:
2024-05-15 05:17:10 CPU Usage: 21.2% | Memory Usage: 27.17% | I/O Usage (read write): 3.44 8.27 | Docker Stats:  | Load Average:  0.90, 1.48, 1.72 | Process Count: 320 | Network Usage:  | Disk I/O Latency: Read:3.44 Write:8.27 | Network Latency: Min:1.249/1.549/1.830/0.225 Avg:ms Max:
2024-05-15 05:17:15 CPU Usage: 64.7% | Memory Usage: 27.17% | I/O Usage (read write): 3.44 8.27 | Docker Stats:  | Load Average:  0.90, 1.47, 1.72 | Process Count: 320 | Network Usage:  | Disk I/O Latency: Read:3.44 Write:8.27 | Network Latency: Min:1.532/1.681/1.856/0.114 Avg:ms Max:
