2024-05-15 00:10:27 CPU Usage: 16.1% | Memory Usage: 24.64% | I/O Usage (read write): 3.41 8.26 | Docker Stats:  | Load Average:  0.13, 0.23, 0.35 | Process Count: 316 | Network Usage:  | Disk I/O Latency: Read:3.41 Write:8.26 | Network Latency: Min:1.555/1.650/1.703/0.051 Avg:ms Max:
2024-05-15 00:10:31 CPU Usage: 94.4% | Memory Usage: 24.74% | I/O Usage (read write): 3.41 8.26 | Docker Stats:  | Load Average:  0.68, 0.34, 0.39 | Process Count: 317 | Network Usage:  | Disk I/O Latency: Read:3.41 Write:8.26 | Network Latency: Min:1.566/1.785/1.955/0.146 Avg:ms Max:
2024-05-15 00:10:35 CPU Usage: 46.9% | Memory Usage: 24.76% | I/O Usage (read write): 3.41 8.26 | Docker Stats:  | Load Average:  0.68, 0.34, 0.39 | Process Count: 317 | Network Usage:  | Disk I/O Latency: Read:3.41 Write:8.26 | Network Latency: Min:1.523/1.735/2.024/0.184 Avg:ms Max:
2024-05-15 00:10:40 CPU Usage: 73.5% | Memory Usage: 24.78% | I/O Usage (read write): 3.41 8.26 | Docker Stats:  | Load Average:  1.35, 0.49, 0.43 | Process Count: 317 | Network Usage:  | Disk I/O Latency: Read:3.41 Write:8.26 | Network Latency: Min:1.450/1.566/1.752/0.134 Avg:ms Max:
2024-05-15 00:10:44 CPU Usage: 54.5% | Memory Usage: 24.82% | I/O Usage (read write): 3.41 8.26 | Docker Stats:  | Load Average:  1.72, 0.58, 0.46 | Process Count: 317 | Network Usage:  | Disk I/O Latency: Read:3.41 Write:8.26 | Network Latency: Min:1.375/1.697/1.925/0.182 Avg:ms Max:
2024-05-15 00:10:48 CPU Usage: 42.4% | Memory Usage: 24.82% | I/O Usage (read write): 3.41 8.26 | Docker Stats:  | Load Average:  1.91, 0.64, 0.48 | Process Count: 317 | Network Usage:  | Disk I/O Latency: Read:3.41 Write:8.26 | Network Latency: Min:1.433/1.646/1.814/0.174 Avg:ms Max:
2024-05-15 00:10:52 CPU Usage: 56.2% | Memory Usage: 24.83% | I/O Usage (read write): 3.41 8.26 | Docker Stats:  | Load Average:  2.07, 0.69, 0.50 | Process Count: 317 | Network Usage:  | Disk I/O Latency: Read:3.41 Write:8.26 | Network Latency: Min:1.553/1.833/2.058/0.169 Avg:ms Max:
2024-05-15 00:10:57 CPU Usage: 46.9% | Memory Usage: 24.83% | I/O Usage (read write): 3.41 8.26 | Docker Stats:  | Load Average:  1.99, 0.70, 0.50 | Process Count: 317 | Network Usage:  | Disk I/O Latency: Read:3.41 Write:8.26 | Network Latency: Min:1.517/1.876/2.054/0.195 Avg:ms Max:
2024-05-15 00:11:01 CPU Usage: 65.7% | Memory Usage: 24.84% | I/O Usage (read write): 3.41 8.26 | Docker Stats:  | Load Average:  1.99, 0.70, 0.50 | Process Count: 317 | Network Usage:  | Disk I/O Latency: Read:3.41 Write:8.26 | Network Latency: Min:1.322/1.626/2.007/0.296 Avg:ms Max:
2024-05-15 00:11:05 CPU Usage: 70.6% | Memory Usage: 24.87% | I/O Usage (read write): 3.41 8.26 | Docker Stats:  | Load Average:  1.91, 0.70, 0.51 | Process Count: 317 | Network Usage:  | Disk I/O Latency: Read:3.41 Write:8.26 | Network Latency: Min:1.613/1.841/2.270/0.253 Avg:ms Max:
2024-05-15 00:11:09 CPU Usage: 51.5% | Memory Usage: 24.91% | I/O Usage (read write): 3.41 8.26 | Docker Stats:  | Load Average:  2.00, 0.74, 0.52 | Process Count: 318 | Network Usage:  | Disk I/O Latency: Read:3.41 Write:8.26 | Network Latency: Min:1.403/1.700/1.842/0.158 Avg:ms Max:
2024-05-15 00:11:13 CPU Usage: 57.1% | Memory Usage: 24.92% | I/O Usage (read write): 3.41 8.26 | Docker Stats:  | Load Average:  1.92, 0.75, 0.52 | Process Count: 318 | Network Usage:  | Disk I/O Latency: Read:3.41 Write:8.26 | Network Latency: Min:1.480/1.788/2.105/0.230 Avg:ms Max:
2024-05-15 00:11:18 CPU Usage: 27.3% | Memory Usage: 24.95% | I/O Usage (read write): 3.41 8.26 | Docker Stats:  | Load Average:  1.76, 0.73, 0.52 | Process Count: 318 | Network Usage:  | Disk I/O Latency: Read:3.41 Write:8.26 | Network Latency: Min:1.227/1.566/1.918/0.230 Avg:ms Max:
2024-05-15 00:11:22 CPU Usage: 61.8% | Memory Usage: 24.95% | I/O Usage (read write): 3.41 8.26 | Docker Stats:  | Load Average:  1.86, 0.77, 0.53 | Process Count: 318 | Network Usage:  | Disk I/O Latency: Read:3.41 Write:8.26 | Network Latency: Min:1.675/1.809/2.048/0.126 Avg:ms Max:
2024-05-15 00:11:26 CPU Usage: 24.2% | Memory Usage: 24.94% | I/O Usage (read write): 3.41 8.26 | Docker Stats:  | Load Average:  1.71, 0.76, 0.53 | Process Count: 318 | Network Usage:  | Disk I/O Latency: Read:3.41 Write:8.26 | Network Latency: Min:1.452/1.725/1.964/0.173 Avg:ms Max:
2024-05-15 00:11:30 CPU Usage: 70.3% | Memory Usage: 24.94% | I/O Usage (read write): 3.41 8.26 | Docker Stats:  | Load Average:  1.71, 0.76, 0.53 | Process Count: 319 | Network Usage:  | Disk I/O Latency: Read:3.41 Write:8.26 | Network Latency: Min:1.420/1.650/1.852/0.163 Avg:ms Max:
2024-05-15 00:11:35 CPU Usage: 53.1% | Memory Usage: 24.93% | I/O Usage (read write): 3.41 8.26 | Docker Stats:  | Load Average:  1.65, 0.76, 0.53 | Process Count: 318 | Network Usage:  | Disk I/O Latency: Read:3.41 Write:8.26 | Network Latency: Min:1.582/1.753/1.891/0.101 Avg:ms Max:
2024-05-15 00:11:39 CPU Usage: 42.9% | Memory Usage: 24.93% | I/O Usage (read write): 3.41 8.26 | Docker Stats:  | Load Average:  1.52, 0.75, 0.53 | Process Count: 318 | Network Usage:  | Disk I/O Latency: Read:3.41 Write:8.26 | Network Latency: Min:1.329/1.677/2.087/0.276 Avg:ms Max:
2024-05-15 00:11:43 CPU Usage: 30.6% | Memory Usage: 24.93% | I/O Usage (read write): 3.41 8.26 | Docker Stats:  | Load Average:  1.48, 0.75, 0.53 | Process Count: 318 | Network Usage:  | Disk I/O Latency: Read:3.41 Write:8.26 | Network Latency: Min:1.491/1.660/1.847/0.147 Avg:ms Max:
2024-05-15 00:11:47 CPU Usage: 44.1% | Memory Usage: 24.93% | I/O Usage (read write): 3.41 8.26 | Docker Stats:  | Load Average:  1.36, 0.74, 0.53 | Process Count: 318 | Network Usage:  | Disk I/O Latency: Read:3.41 Write:8.26 | Network Latency: Min:1.351/1.629/1.801/0.165 Avg:ms Max:
2024-05-15 00:11:52 CPU Usage: 61.8% | Memory Usage: 24.93% | I/O Usage (read write): 3.41 8.26 | Docker Stats:  | Load Average:  1.25, 0.73, 0.53 | Process Count: 319 | Network Usage:  | Disk I/O Latency: Read:3.41 Write:8.26 | Network Latency: Min:1.351/1.657/1.965/0.250 Avg:ms Max:
2024-05-15 00:11:56 CPU Usage: 36.4% | Memory Usage: 24.92% | I/O Usage (read write): 3.41 8.26 | Docker Stats:  | Load Average:  1.25, 0.73, 0.53 | Process Count: 318 | Network Usage:  | Disk I/O Latency: Read:3.41 Write:8.26 | Network Latency: Min:1.342/1.526/1.871/0.184 Avg:ms Max:
2024-05-15 00:12:00 CPU Usage: 40.6% | Memory Usage: 24.92% | I/O Usage (read write): 3.41 8.26 | Docker Stats:  | Load Average:  1.47, 0.78, 0.55 | Process Count: 318 | Network Usage:  | Disk I/O Latency: Read:3.41 Write:8.26 | Network Latency: Min:1.367/1.544/1.707/0.123 Avg:ms Max:
2024-05-15 00:12:04 CPU Usage: 25.7% | Memory Usage: 24.91% | I/O Usage (read write): 3.41 8.26 | Docker Stats:  | Load Average:  1.35, 0.77, 0.54 | Process Count: 318 | Network Usage:  | Disk I/O Latency: Read:3.41 Write:8.26 | Network Latency: Min:1.319/1.516/1.762/0.165 Avg:ms Max:
2024-05-15 00:12:09 CPU Usage: 24.2% | Memory Usage: 24.91% | I/O Usage (read write): 3.41 8.26 | Docker Stats:  | Load Average:  1.49, 0.81, 0.56 | Process Count: 318 | Network Usage:  | Disk I/O Latency: Read:3.41 Write:8.26 | Network Latency: Min:1.406/1.758/1.960/0.192 Avg:ms Max:
2024-05-15 00:12:13 CPU Usage: 78.8% | Memory Usage: 24.90% | I/O Usage (read write): 3.41 8.26 | Docker Stats:  | Load Average:  1.45, 0.81, 0.56 | Process Count: 318 | Network Usage:  | Disk I/O Latency: Read:3.41 Write:8.26 | Network Latency: Min:1.312/1.696/1.893/0.204 Avg:ms Max:
2024-05-15 00:12:17 CPU Usage: 16.1% | Memory Usage: 24.91% | I/O Usage (read write): 3.41 8.26 | Docker Stats:  | Load Average:  1.49, 0.83, 0.57 | Process Count: 318 | Network Usage:  | Disk I/O Latency: Read:3.41 Write:8.26 | Network Latency: Min:1.538/1.727/1.901/0.128 Avg:ms Max:
2024-05-15 00:12:21 CPU Usage: 34.4% | Memory Usage: 24.91% | I/O Usage (read write): 3.41 8.26 | Docker Stats:  | Load Average:  1.37, 0.82, 0.56 | Process Count: 318 | Network Usage:  | Disk I/O Latency: Read:3.41 Write:8.26 | Network Latency: Min:1.515/1.612/1.758/0.090 Avg:ms Max:
2024-05-15 00:12:26 CPU Usage: 51.5% | Memory Usage: 24.92% | I/O Usage (read write): 3.41 8.26 | Docker Stats:  | Load Average:  1.37, 0.82, 0.56 | Process Count: 318 | Network Usage:  | Disk I/O Latency: Read:3.41 Write:8.26 | Network Latency: Min:1.501/1.667/1.857/0.138 Avg:ms Max:
2024-05-15 00:12:30 CPU Usage: 27.3% | Memory Usage: 24.93% | I/O Usage (read write): 3.41 8.26 | Docker Stats:  | Load Average:  1.26, 0.80, 0.56 | Process Count: 318 | Network Usage:  | Disk I/O Latency: Read:3.41 Write:8.26 | Network Latency: Min:1.459/1.654/1.760/0.109 Avg:ms Max:
2024-05-15 00:12:34 CPU Usage: 65.7% | Memory Usage: 24.95% | I/O Usage (read write): 3.41 8.26 | Docker Stats:  | Load Average:  1.16, 0.79, 0.56 | Process Count: 318 | Network Usage:  | Disk I/O Latency: Read:3.41 Write:8.26 | Network Latency: Min:1.177/1.636/2.025/0.282 Avg:ms Max:
2024-05-15 00:12:38 CPU Usage: 60.5% | Memory Usage: 24.97% | I/O Usage (read write): 3.41 8.26 | Docker Stats:  | Load Average:  1.07, 0.78, 0.55 | Process Count: 320 | Network Usage:  | Disk I/O Latency: Read:3.41 Write:8.26 | Network Latency: Min:1.339/1.586/1.827/0.156 Avg:ms Max:
2024-05-15 00:12:43 CPU Usage: 22.9% | Memory Usage: 24.97% | I/O Usage (read write): 3.41 8.26 | Docker Stats:  | Load Average:  1.06, 0.78, 0.56 | Process Count: 318 | Network Usage:  | Disk I/O Latency: Read:3.41 Write:8.26 | Network Latency: Min:1.373/1.803/2.095/0.261 Avg:ms Max:
2024-05-15 00:12:47 CPU Usage: 25% | Memory Usage: 24.99% | I/O Usage (read write): 3.41 8.26 | Docker Stats:  | Load Average:  1.22, 0.82, 0.57 | Process Count: 318 | Network Usage:  | Disk I/O Latency: Read:3.41 Write:8.26 | Network Latency: Min:1.466/1.732/2.158/0.233 Avg:ms Max:
2024-05-15 00:12:51 CPU Usage: 60.6% | Memory Usage: 25.02% | I/O Usage (read write): 3.41 8.26 | Docker Stats:  | Load Average:  1.28, 0.84, 0.58 | Process Count: 318 | Network Usage:  | Disk I/O Latency: Read:3.41 Write:8.26 | Network Latency: Min:1.504/1.666/1.801/0.104 Avg:ms Max:
2024-05-15 00:12:55 CPU Usage: 18.2% | Memory Usage: 25.02% | I/O Usage (read write): 3.41 8.26 | Docker Stats:  | Load Average:  1.28, 0.84, 0.58 | Process Count: 318 | Network Usage:  | Disk I/O Latency: Read:3.41 Write:8.26 | Network Latency: Min:1.463/1.669/1.804/0.132 Avg:ms Max:
2024-05-15 00:13:00 CPU Usage: 15.6% | Memory Usage: 25.03% | I/O Usage (read write): 3.41 8.26 | Docker Stats:  | Load Average:  1.26, 0.84, 0.58 | Process Count: 318 | Network Usage:  | Disk I/O Latency: Read:3.41 Write:8.26 | Network Latency: Min:1.300/1.585/1.812/0.186 Avg:ms Max:
2024-05-15 00:13:04 CPU Usage: 45.5% | Memory Usage: 25.03% | I/O Usage (read write): 3.41 8.26 | Docker Stats:  | Load Average:  1.16, 0.83, 0.58 | Process Count: 318 | Network Usage:  | Disk I/O Latency: Read:3.41 Write:8.26 | Network Latency: Min:1.691/1.769/1.911/0.077 Avg:ms Max:
