2024-05-15 04:31:13 CPU Usage: 18.2% | Memory Usage: 26.73% | I/O Usage (read write): 3.43 8.27 | Docker Stats:  | Load Average:  0.15, 0.21, 0.36 | Process Count: 321 | Network Usage:  | Disk I/O Latency: Read:3.43 Write:8.27 | Network Latency: Min:1.541/1.744/2.085/0.188 Avg:ms Max:
2024-05-15 04:31:17 CPU Usage: 97.2% | Memory Usage: 26.72% | I/O Usage (read write): 3.43 8.27 | Docker Stats:  | Load Average:  0.22, 0.22, 0.36 | Process Count: 322 | Network Usage:  | Disk I/O Latency: Read:3.43 Write:8.27 | Network Latency: Min:1.588/1.729/1.914/0.111 Avg:ms Max:
2024-05-15 04:31:22 CPU Usage: 90.9% | Memory Usage: 26.78% | I/O Usage (read write): 3.43 8.27 | Docker Stats:  | Load Average:  0.68, 0.32, 0.39 | Process Count: 322 | Network Usage:  | Disk I/O Latency: Read:3.43 Write:8.27 | Network Latency: Min:1.452/1.695/1.902/0.160 Avg:ms Max:
2024-05-15 04:31:26 CPU Usage: 87.1% | Memory Usage: 26.75% | I/O Usage (read write): 3.43 8.27 | Docker Stats:  | Load Average:  0.87, 0.36, 0.41 | Process Count: 322 | Network Usage:  | Disk I/O Latency: Read:3.43 Write:8.27 | Network Latency: Min:1.550/1.693/1.942/0.144 Avg:ms Max:
2024-05-15 04:31:30 CPU Usage: 97.3% | Memory Usage: 26.77% | I/O Usage (read write): 3.43 8.27 | Docker Stats:  | Load Average:  0.96, 0.39, 0.42 | Process Count: 322 | Network Usage:  | Disk I/O Latency: Read:3.43 Write:8.27 | Network Latency: Min:1.464/1.670/1.764/0.110 Avg:ms Max:
2024-05-15 04:31:35 CPU Usage: 87.9% | Memory Usage: 26.80% | I/O Usage (read write): 3.43 8.27 | Docker Stats:  | Load Average:  1.92, 0.60, 0.49 | Process Count: 322 | Network Usage:  | Disk I/O Latency: Read:3.43 Write:8.27 | Network Latency: Min:1.322/1.577/1.781/0.153 Avg:ms Max:
2024-05-15 04:31:39 CPU Usage: 88.2% | Memory Usage: 26.79% | I/O Usage (read write): 3.43 8.27 | Docker Stats:  | Load Average:  1.85, 0.60, 0.49 | Process Count: 322 | Network Usage:  | Disk I/O Latency: Read:3.43 Write:8.27 | Network Latency: Min:1.532/1.709/1.952/0.155 Avg:ms Max:
2024-05-15 04:31:43 CPU Usage: 92.1% | Memory Usage: 26.78% | I/O Usage (read write): 3.43 8.27 | Docker Stats:  | Load Average:  1.85, 0.60, 0.49 | Process Count: 322 | Network Usage:  | Disk I/O Latency: Read:3.43 Write:8.27 | Network Latency: Min:1.370/1.632/1.893/0.198 Avg:ms Max:
2024-05-15 04:31:47 CPU Usage: 97.2% | Memory Usage: 26.83% | I/O Usage (read write): 3.43 8.27 | Docker Stats:  | Load Average:  2.18, 0.69, 0.52 | Process Count: 323 | Network Usage:  | Disk I/O Latency: Read:3.43 Write:8.27 | Network Latency: Min:1.548/1.708/1.912/0.140 Avg:ms Max:
2024-05-15 04:31:52 CPU Usage: 97.1% | Memory Usage: 26.81% | I/O Usage (read write): 3.43 8.27 | Docker Stats:  | Load Average:  2.33, 0.75, 0.54 | Process Count: 322 | Network Usage:  | Disk I/O Latency: Read:3.43 Write:8.27 | Network Latency: Min:1.576/1.765/2.076/0.179 Avg:ms Max:
2024-05-15 04:31:56 CPU Usage: 97% | Memory Usage: 26.84% | I/O Usage (read write): 3.43 8.27 | Docker Stats:  | Load Average:  2.38, 0.79, 0.55 | Process Count: 322 | Network Usage:  | Disk I/O Latency: Read:3.43 Write:8.27 | Network Latency: Min:1.476/1.698/1.931/0.153 Avg:ms Max:
