2024-05-15 04:11:02 CPU Usage: 16.1% | Memory Usage: 26.65% | I/O Usage (read write): 3.43 8.27 | Docker Stats:  | Load Average:  1.61, 0.48, 0.32 | Process Count: 320 | Network Usage:  | Disk I/O Latency: Read:3.43 Write:8.27 | Network Latency: Min:1.607/1.783/2.056/0.164 Avg:ms Max:
2024-05-15 04:11:06 CPU Usage: 41.2% | Memory Usage: 26.65% | I/O Usage (read write): 3.43 8.27 | Docker Stats:  | Load Average:  1.48, 0.47, 0.32 | Process Count: 321 | Network Usage:  | Disk I/O Latency: Read:3.43 Write:8.27 | Network Latency: Min:1.387/1.567/1.943/0.193 Avg:ms Max:
2024-05-15 04:11:11 CPU Usage: 94.1% | Memory Usage: 26.72% | I/O Usage (read write): 3.43 8.27 | Docker Stats:  | Load Average:  2.08, 0.61, 0.36 | Process Count: 321 | Network Usage:  | Disk I/O Latency: Read:3.43 Write:8.27 | Network Latency: Min:1.461/1.626/1.754/0.112 Avg:ms Max:
2024-05-15 04:11:15 CPU Usage: 91.7% | Memory Usage: 26.80% | I/O Usage (read write): 3.43 8.27 | Docker Stats:  | Load Average:  2.16, 0.65, 0.38 | Process Count: 321 | Network Usage:  | Disk I/O Latency: Read:3.43 Write:8.27 | Network Latency: Min:1.319/1.552/1.718/0.158 Avg:ms Max:
2024-05-15 04:11:19 CPU Usage: 100% | Memory Usage: 26.80% | I/O Usage (read write): 3.43 8.27 | Docker Stats:  | Load Average:  2.14, 0.68, 0.39 | Process Count: 325 | Network Usage:  | Disk I/O Latency: Read:3.43 Write:8.27 | Network Latency: Min:1.329/1.489/1.626/0.114 Avg:ms Max:
2024-05-15 04:11:23 CPU Usage: 91.9% | Memory Usage: 26.82% | I/O Usage (read write): 3.43 8.27 | Docker Stats:  | Load Average:  2.21, 0.72, 0.40 | Process Count: 324 | Network Usage:  | Disk I/O Latency: Read:3.43 Write:8.27 | Network Latency: Min:1.211/1.452/1.613/0.176 Avg:ms Max:
2024-05-15 04:11:28 CPU Usage: 90.9% | Memory Usage: 26.84% | I/O Usage (read write): 3.43 8.27 | Docker Stats:  | Load Average:  2.28, 0.75, 0.41 | Process Count: 324 | Network Usage:  | Disk I/O Latency: Read:3.43 Write:8.27 | Network Latency: Min:1.385/1.628/1.767/0.139 Avg:ms Max:
2024-05-15 04:11:32 CPU Usage: 100% | Memory Usage: 26.81% | I/O Usage (read write): 3.43 8.27 | Docker Stats:  | Load Average:  2.28, 0.75, 0.41 | Process Count: 324 | Network Usage:  | Disk I/O Latency: Read:3.43 Write:8.27 | Network Latency: Min:1.359/1.545/1.666/0.105 Avg:ms Max:
2024-05-15 04:11:36 CPU Usage: 97.2% | Memory Usage: 26.81% | I/O Usage (read write): 3.43 8.27 | Docker Stats:  | Load Average:  2.25, 0.77, 0.42 | Process Count: 324 | Network Usage:  | Disk I/O Latency: Read:3.43 Write:8.27 | Network Latency: Min:1.146/1.428/1.555/0.150 Avg:ms Max:
2024-05-15 04:11:41 CPU Usage: 93.9% | Memory Usage: 26.80% | I/O Usage (read write): 3.43 8.27 | Docker Stats:  | Load Average:  2.79, 0.91, 0.47 | Process Count: 325 | Network Usage:  | Disk I/O Latency: Read:3.43 Write:8.27 | Network Latency: Min:1.382/1.674/1.896/0.195 Avg:ms Max:
2024-05-15 04:11:45 CPU Usage: 89.2% | Memory Usage: 26.80% | I/O Usage (read write): 3.43 8.27 | Docker Stats:  | Load Average:  2.73, 0.93, 0.48 | Process Count: 324 | Network Usage:  | Disk I/O Latency: Read:3.43 Write:8.27 | Network Latency: Min:1.388/1.677/1.811/0.150 Avg:ms Max:
