2024-05-15 04:19:52 CPU Usage: 18.2% | Memory Usage: 26.73% | I/O Usage (read write): 3.43 8.27 | Docker Stats:  | Load Average:  0.16, 0.57, 0.56 | Process Count: 321 | Network Usage:  | Disk I/O Latency: Read:3.43 Write:8.27 | Network Latency: Min:1.743/1.873/2.044/0.096 Avg:ms Max:
2024-05-15 04:19:56 CPU Usage: 38.2% | Memory Usage: 26.73% | I/O Usage (read write): 3.43 8.27 | Docker Stats:  | Load Average:  0.14, 0.56, 0.56 | Process Count: 322 | Network Usage:  | Disk I/O Latency: Read:3.43 Write:8.27 | Network Latency: Min:1.554/1.746/2.079/0.178 Avg:ms Max:
2024-05-15 04:20:00 CPU Usage: 21.2% | Memory Usage: 26.74% | I/O Usage (read write): 3.43 8.27 | Docker Stats:  | Load Average:  0.13, 0.55, 0.55 | Process Count: 322 | Network Usage:  | Disk I/O Latency: Read:3.43 Write:8.27 | Network Latency: Min:1.476/1.670/1.869/0.134 Avg:ms Max:
2024-05-15 04:20:05 CPU Usage: 6.9% | Memory Usage: 26.74% | I/O Usage (read write): 3.43 8.27 | Docker Stats:  | Load Average:  0.20, 0.55, 0.56 | Process Count: 322 | Network Usage:  | Disk I/O Latency: Read:3.43 Write:8.27 | Network Latency: Min:1.418/1.698/1.960/0.179 Avg:ms Max:
2024-05-15 04:20:09 CPU Usage: 39.4% | Memory Usage: 26.74% | I/O Usage (read write): 3.43 8.27 | Docker Stats:  | Load Average:  0.35, 0.58, 0.56 | Process Count: 322 | Network Usage:  | Disk I/O Latency: Read:3.43 Write:8.27 | Network Latency: Min:1.472/1.553/1.768/0.110 Avg:ms Max:
2024-05-15 04:20:13 CPU Usage: 20% | Memory Usage: 26.74% | I/O Usage (read write): 3.43 8.27 | Docker Stats:  | Load Average:  0.32, 0.57, 0.56 | Process Count: 322 | Network Usage:  | Disk I/O Latency: Read:3.43 Write:8.27 | Network Latency: Min:1.416/1.667/1.895/0.154 Avg:ms Max:
2024-05-15 04:20:17 CPU Usage: 16.1% | Memory Usage: 26.75% | I/O Usage (read write): 3.43 8.27 | Docker Stats:  | Load Average:  0.32, 0.57, 0.56 | Process Count: 322 | Network Usage:  | Disk I/O Latency: Read:3.43 Write:8.27 | Network Latency: Min:1.315/1.563/1.787/0.173 Avg:ms Max:
2024-05-15 04:20:22 CPU Usage: 38.2% | Memory Usage: 26.74% | I/O Usage (read write): 3.43 8.27 | Docker Stats:  | Load Average:  0.29, 0.56, 0.56 | Process Count: 322 | Network Usage:  | Disk I/O Latency: Read:3.43 Write:8.27 | Network Latency: Min:1.459/1.728/1.965/0.177 Avg:ms Max:
2024-05-15 04:20:26 CPU Usage: 15.6% | Memory Usage: 26.75% | I/O Usage (read write): 3.43 8.27 | Docker Stats:  | Load Average:  0.27, 0.55, 0.55 | Process Count: 322 | Network Usage:  | Disk I/O Latency: Read:3.43 Write:8.27 | Network Latency: Min:1.412/1.677/2.049/0.208 Avg:ms Max:
2024-05-15 04:20:30 CPU Usage: 15.6% | Memory Usage: 26.75% | I/O Usage (read write): 3.43 8.27 | Docker Stats:  | Load Average:  0.25, 0.54, 0.55 | Process Count: 322 | Network Usage:  | Disk I/O Latency: Read:3.43 Write:8.27 | Network Latency: Min:1.254/1.562/1.902/0.217 Avg:ms Max:
2024-05-15 04:20:34 CPU Usage: 37.1% | Memory Usage: 26.76% | I/O Usage (read write): 3.43 8.27 | Docker Stats:  | Load Average:  0.23, 0.53, 0.55 | Process Count: 322 | Network Usage:  | Disk I/O Latency: Read:3.43 Write:8.27 | Network Latency: Min:1.422/1.608/1.763/0.116 Avg:ms Max:
2024-05-15 04:20:38 CPU Usage: 15.2% | Memory Usage: 26.75% | I/O Usage (read write): 3.43 8.27 | Docker Stats:  | Load Average:  0.21, 0.52, 0.54 | Process Count: 322 | Network Usage:  | Disk I/O Latency: Read:3.43 Write:8.27 | Network Latency: Min:1.545/1.683/1.797/0.090 Avg:ms Max:
2024-05-15 04:20:43 CPU Usage: 12.9% | Memory Usage: 26.76% | I/O Usage (read write): 3.43 8.27 | Docker Stats:  | Load Average:  0.21, 0.52, 0.54 | Process Count: 322 | Network Usage:  | Disk I/O Latency: Read:3.43 Write:8.27 | Network Latency: Min:1.603/1.879/2.120/0.171 Avg:ms Max:
2024-05-15 04:20:47 CPU Usage: 42.9% | Memory Usage: 26.74% | I/O Usage (read write): 3.43 8.27 | Docker Stats:  | Load Average:  0.19, 0.51, 0.54 | Process Count: 322 | Network Usage:  | Disk I/O Latency: Read:3.43 Write:8.27 | Network Latency: Min:1.367/1.654/2.267/0.315 Avg:ms Max:
2024-05-15 04:20:51 CPU Usage: 18.2% | Memory Usage: 26.75% | I/O Usage (read write): 3.43 8.27 | Docker Stats:  | Load Average:  0.18, 0.50, 0.54 | Process Count: 322 | Network Usage:  | Disk I/O Latency: Read:3.43 Write:8.27 | Network Latency: Min:1.513/1.682/1.881/0.137 Avg:ms Max:
2024-05-15 04:20:55 CPU Usage: 15.2% | Memory Usage: 26.75% | I/O Usage (read write): 3.43 8.27 | Docker Stats:  | Load Average:  0.16, 0.50, 0.54 | Process Count: 322 | Network Usage:  | Disk I/O Latency: Read:3.43 Write:8.27 | Network Latency: Min:1.503/1.618/1.765/0.084 Avg:ms Max:
2024-05-15 04:21:00 CPU Usage: 36.4% | Memory Usage: 26.77% | I/O Usage (read write): 3.43 8.27 | Docker Stats:  | Load Average:  0.15, 0.49, 0.53 | Process Count: 322 | Network Usage:  | Disk I/O Latency: Read:3.43 Write:8.27 | Network Latency: Min:1.334/1.719/1.926/0.209 Avg:ms Max:
2024-05-15 04:21:04 CPU Usage: 25.7% | Memory Usage: 26.78% | I/O Usage (read write): 3.43 8.27 | Docker Stats:  | Load Average:  0.22, 0.50, 0.54 | Process Count: 322 | Network Usage:  | Disk I/O Latency: Read:3.43 Write:8.27 | Network Latency: Min:1.391/1.728/2.020/0.261 Avg:ms Max:
2024-05-15 04:21:08 CPU Usage: 12.9% | Memory Usage: 26.78% | I/O Usage (read write): 3.43 8.27 | Docker Stats:  | Load Average:  0.20, 0.49, 0.53 | Process Count: 322 | Network Usage:  | Disk I/O Latency: Read:3.43 Write:8.27 | Network Latency: Min:1.547/1.650/1.950/0.151 Avg:ms Max:
2024-05-15 04:21:12 CPU Usage: 34.4% | Memory Usage: 26.76% | I/O Usage (read write): 3.43 8.27 | Docker Stats:  | Load Average:  0.20, 0.49, 0.53 | Process Count: 322 | Network Usage:  | Disk I/O Latency: Read:3.43 Write:8.27 | Network Latency: Min:1.675/1.826/1.936/0.093 Avg:ms Max:
2024-05-15 04:21:16 CPU Usage: 18.2% | Memory Usage: 26.77% | I/O Usage (read write): 3.43 8.27 | Docker Stats:  | Load Average:  0.18, 0.48, 0.53 | Process Count: 322 | Network Usage:  | Disk I/O Latency: Read:3.43 Write:8.27 | Network Latency: Min:1.593/1.742/1.963/0.121 Avg:ms Max:
2024-05-15 04:21:21 CPU Usage: 12.5% | Memory Usage: 26.77% | I/O Usage (read write): 3.43 8.27 | Docker Stats:  | Load Average:  0.17, 0.47, 0.53 | Process Count: 322 | Network Usage:  | Disk I/O Latency: Read:3.43 Write:8.27 | Network Latency: Min:1.427/1.516/1.734/0.120 Avg:ms Max:
2024-05-15 04:21:25 CPU Usage: 85.7% | Memory Usage: 26.78% | I/O Usage (read write): 3.43 8.27 | Docker Stats:  | Load Average:  0.15, 0.46, 0.52 | Process Count: 323 | Network Usage:  | Disk I/O Latency: Read:3.43 Write:8.27 | Network Latency: Min:1.368/1.628/1.823/0.148 Avg:ms Max:
2024-05-15 04:21:29 CPU Usage: 18.2% | Memory Usage: 26.78% | I/O Usage (read write): 3.43 8.27 | Docker Stats:  | Load Average:  0.14, 0.45, 0.52 | Process Count: 322 | Network Usage:  | Disk I/O Latency: Read:3.43 Write:8.27 | Network Latency: Min:1.676/1.784/2.163/0.189 Avg:ms Max:
