2024-05-14 19:10:12 CPU Usage: 34.3% | Memory Usage: 22.39% | I/O Usage (read write): 3.36 8.27 | Docker Stats:  | Load Average:  1.54, 1.80, 0.97 | Process Count: 275 | Network Usage:  | Disk I/O Latency: Read:3.36 Write:8.27 | Network Latency: Min:1.805/1.873/2.068/0.101 Avg:ms Max:
2024-05-14 19:10:17 CPU Usage: 19.4% | Memory Usage: 22.55% | I/O Usage (read write): 3.36 8.27 | Docker Stats:  | Load Average:  1.74, 1.84, 0.98 | Process Count: 275 | Network Usage:  | Disk I/O Latency: Read:3.36 Write:8.27 | Network Latency: Min:1.539/1.646/1.908/0.133 Avg:ms Max:
2024-05-14 19:10:23 CPU Usage: 32.4% | Memory Usage: 22.74% | I/O Usage (read write): 3.36 8.27 | Docker Stats:  | Load Average:  1.68, 1.83, 0.98 | Process Count: 275 | Network Usage:  | Disk I/O Latency: Read:3.36 Write:8.27 | Network Latency: Min:1.499/1.648/1.921/0.155 Avg:ms Max:
2024-05-14 19:10:28 CPU Usage: 32.4% | Memory Usage: 23.15% | I/O Usage (read write): 3.36 8.27 | Docker Stats:  | Load Average:  1.71, 1.83, 0.99 | Process Count: 275 | Network Usage:  | Disk I/O Latency: Read:3.36 Write:8.27 | Network Latency: Min:1.698/1.886/2.015/0.123 Avg:ms Max:
2024-05-14 19:10:33 CPU Usage: 62.5% | Memory Usage: 23.74% | I/O Usage (read write): 3.36 8.27 | Docker Stats:  | Load Average:  1.57, 1.80, 0.98 | Process Count: 275 | Network Usage:  | Disk I/O Latency: Read:3.36 Write:8.27 | Network Latency: Min:1.302/1.475/1.720/0.141 Avg:ms Max:
2024-05-14 19:10:38 CPU Usage: 94.3% | Memory Usage: 24.22% | I/O Usage (read write): 3.36 8.27 | Docker Stats:  | Load Average:  1.76, 1.84, 1.00 | Process Count: 273 | Network Usage:  | Disk I/O Latency: Read:3.36 Write:8.27 | Network Latency: Min:1.665/1.819/2.039/0.138 Avg:ms Max:
2024-05-14 19:10:44 CPU Usage: 29% | Memory Usage: 24.58% | I/O Usage (read write): 3.36 8.27 | Docker Stats:  | Load Average:  1.62, 1.81, 0.99 | Process Count: 274 | Network Usage:  | Disk I/O Latency: Read:3.36 Write:8.27 | Network Latency: Min:1.374/1.754/2.040/0.228 Avg:ms Max:
2024-05-14 19:10:49 CPU Usage: 67.6% | Memory Usage: 24.70% | I/O Usage (read write): 3.36 8.27 | Docker Stats:  | Load Average:  1.49, 1.77, 0.99 | Process Count: 274 | Network Usage:  | Disk I/O Latency: Read:3.36 Write:8.27 | Network Latency: Min:1.353/1.613/1.816/0.167 Avg:ms Max:
2024-05-14 19:10:54 CPU Usage: 32.4% | Memory Usage: 24.73% | I/O Usage (read write): 3.36 8.27 | Docker Stats:  | Load Average:  1.93, 1.86, 1.02 | Process Count: 273 | Network Usage:  | Disk I/O Latency: Read:3.36 Write:8.27 | Network Latency: Min:1.526/1.655/1.742/0.072 Avg:ms Max:
2024-05-14 19:10:59 CPU Usage: 34.3% | Memory Usage: 24.75% | I/O Usage (read write): 3.36 8.27 | Docker Stats:  | Load Average:  1.78, 1.83, 1.02 | Process Count: 274 | Network Usage:  | Disk I/O Latency: Read:3.36 Write:8.27 | Network Latency: Min:1.443/1.541/1.682/0.084 Avg:ms Max:
