2024-05-06 20:49:51 CPU Usage: 18.2% | Memory Usage: 27.06% | I/O Usage (read write): 3.41 8.89 | Docker Stats: CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O      PIDS
7cac5634af4e   rabbitmq              6.81%     102.1MiB / 512MiB     19.94%    58.1MB / 58MB     0B / 3.34MB    40
0d83340eb2a1   mysqlserver           0.06%     177.7MiB / 1GiB       17.36%    246kB / 296kB     0B / 13.1MB    38
bad4d64f3501   discoveryservice      0.59%     917.6MiB / 1GiB       89.61%    1.85MB / 1.51MB   0B / 13.4MB    63 | Load Average:  0.58, 0.28, 0.26 | Process Count: 315 | Network Usage:  | Disk I/O Latency: Read:3.41 Write:8.89 | Network Latency: Min:1.528/1.701/1.972/0.167 Avg:ms Max:
2024-05-06 20:50:15 CPU Usage: 21.9% | Memory Usage: 27.10% | I/O Usage (read write): 3.41 8.89 | Docker Stats: CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O      PIDS
58a77735eccd   edgeservice           6.14%     223.3MiB / 1GiB       21.81%    59.4MB / 76.9MB   0B / 24.4MB    39
893a597ee7e4   tripmanagementquery   3.84%     297.9MiB / 1GiB       29.09%    39.4MB / 18MB     0B / 26.6MB    63
a590ec851b1e   calculationservice    0.00%     4.422MiB / 1GiB       0.43%     29.6MB / 36MB     0B / 0B        7
ee7d2be91e49   tripmanagementcmd     10.67%    374.8MiB / 1GiB       36.60%    48.5GB / 219MB    0B / 100MB     53
542de0862de7   gmapsadapter          0.00%     51.51MiB / 1GiB       5.03%     18.6MB / 13.5MB   0B / 16.4kB    22
80cf21d912f2   notificationservice   0.00%     12.19MiB / 1GiB       1.19%     9.52MB / 1.89MB   0B / 0B        6
9bc901cb6181   userservice           0.08%     1.518GiB / 2GiB       75.90%    483kB / 560kB     0B / 20MB      40
4b76beba0bca   logstash              0.53%     1.078GiB / 31.34GiB   3.44%     14kB / 2.75kB     0B / 14MB      40
9d48986e2e38   kibana                3.21%     484.2MiB / 1GiB       47.28%    14MB / 70.4MB     0B / 8.19kB    12
169fc0d27e17   monitor               0.21%     726.2MiB / 2GiB       35.46%    22MB / 1.58MB     0B / 29.5MB    18
8e05f3f7005f   elasticsearch         0.39%     1.451GiB / 2GiB       72.54%    70.2MB / 13.8MB   0B / 43.4MB    88
8c8b2a42cbcb   mongo                 2.71%     80.87MiB / 1GiB       7.90%     191MB / 48.5GB    41kB / 120MB   23
7cac5634af4e   rabbitmq              5.69%     102.1MiB / 512MiB     19.94%    58.8MB / 58.7MB   0B / 3.34MB    40
0d83340eb2a1   mysqlserver           0.06%     177.7MiB / 1GiB       17.36%    246kB / 296kB     0B / 13.1MB    38
bad4d64f3501   discoveryservice      0.75%     917.6MiB / 1GiB       89.61%    1.85MB / 1.51MB   0B / 13.4MB    63 | Load Average:  0.64, 0.30, 0.27 | Process Count: 314 | Network Usage:  | Disk I/O Latency: Read:3.41 Write:8.89 | Network Latency: Min:1.617/1.759/2.089/0.179 Avg:ms Max:
2024-05-06 20:50:22 CPU Usage: 28.6% | Memory Usage: 27.11% | I/O Usage (read write): 3.41 8.89 | Docker Stats: CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O      PIDS
58a77735eccd   edgeservice           5.03%     223.3MiB / 1GiB       21.80%    60.2MB / 77.8MB   0B / 24.4MB    39
893a597ee7e4   tripmanagementquery   3.02%     298MiB / 1GiB         29.11%    40.2MB / 18.4MB   0B / 26.6MB    63
a590ec851b1e   calculationservice    0.00%     4.457MiB / 1GiB       0.44%     29.6MB / 36MB     0B / 0B        7
ee7d2be91e49   tripmanagementcmd     7.78%     375.6MiB / 1GiB       36.68%    48.5GB / 221MB    0B / 100MB     53
542de0862de7   gmapsadapter          0.00%     51.51MiB / 1GiB       5.03%     18.6MB / 13.5MB   0B / 16.4kB    22
80cf21d912f2   notificationservice   0.02%     12.19MiB / 1GiB       1.19%     9.52MB / 1.89MB   0B / 0B        6
9bc901cb6181   userservice           0.09%     1.518GiB / 2GiB       75.90%    483kB / 560kB     0B / 20.1MB    40
4b76beba0bca   logstash              0.36%     1.078GiB / 31.34GiB   3.44%     14kB / 2.75kB     0B / 14MB      40
9d48986e2e38   kibana                3.84%     484.2MiB / 1GiB       47.28%    14MB / 70.5MB     0B / 8.19kB    12
169fc0d27e17   monitor               0.24%     726.2MiB / 2GiB       35.46%    22.1MB / 1.58MB   0B / 29.5MB    18
8e05f3f7005f   elasticsearch         0.70%     1.451GiB / 2GiB       72.54%    70.3MB / 13.8MB   0B / 43.4MB    88
8c8b2a42cbcb   mongo                 2.26%     81.89MiB / 1GiB       8.00%     192MB / 48.5GB    41kB / 121MB   23
7cac5634af4e   rabbitmq              72.14%    102.1MiB / 512MiB     19.94%    59.4MB / 59.4MB   0B / 3.34MB    40
0d83340eb2a1   mysqlserver           0.05%     177.7MiB / 1GiB       17.36%    246kB / 296kB     0B / 13.1MB    38
bad4d64f3501   discoveryservice      0.53%     917.6MiB / 1GiB       89.61%    1.85MB / 1.52MB   0B / 13.4MB    63 | Load Average:  0.91, 0.36, 0.29 | Process Count: 314 | Network Usage:  | Disk I/O Latency: Read:3.41 Write:8.89 | Network Latency: Min:1.564/1.824/2.071/0.169 Avg:ms Max:
2024-05-06 20:50:30 CPU Usage: 23.5% | Memory Usage: 27.11% | I/O Usage (read write): 3.41 8.89 | Docker Stats: CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O      PIDS
58a77735eccd   edgeservice           7.30%     223.3MiB / 1GiB       21.80%    60.9MB / 78.7MB   0B / 24.4MB    39
893a597ee7e4   tripmanagementquery   18.11%    298.1MiB / 1GiB       29.12%    41MB / 18.7MB     0B / 26.6MB    63
a590ec851b1e   calculationservice    0.00%     4.457MiB / 1GiB       0.44%     29.6MB / 36MB     0B / 0B        7
