2024-05-06 20:49:51 CPU Usage: 18.2% | Memory Usage: 27.06% | I/O Usage (read write): 3.41 8.89 | Docker Stats: CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O      PIDS
9bc901cb6181   userservice           0.09%     1.518GiB / 2GiB       75.91%    548kB / 627kB     0B / 21.4MB       40
4b76beba0bca   logstash              0.72%     1.079GiB / 31.34GiB   3.44%     14.2kB / 2.75kB   0B / 16.1MB       40
9d48986e2e38   kibana                3.37%     485.1MiB / 1GiB       47.37%    15.2MB / 76.9MB   0B / 8.19kB       12
169fc0d27e17   monitor               0.18%     725.6MiB / 2GiB       35.43%    30.5MB / 1.98MB   0B / 32.5MB       18
8e05f3f7005f   elasticsearch         0.78%     1.451GiB / 2GiB       72.56%    76.7MB / 14.9MB   81.9kB / 47.2MB   88
8c8b2a42cbcb   mongo                 10.52%    101.7MiB / 1GiB       9.93%     246MB / 57.7GB    41kB / 183MB      23
7cac5634af4e   rabbitmq              2.48%     103.8MiB / 512MiB     20.28%    96.1MB / 94.2MB   0B / 3.34MB       40
0d83340eb2a1   mysqlserver           0.07%     177.8MiB / 1GiB       17.36%    285kB / 346kB     0B / 13.1MB       38
bad4d64f3501   discoveryservice      0.58%     917.6MiB / 1GiB       89.61%    2.03MB / 1.65MB   0B / 14.1MB       63 | Load Average:  2.25, 2.21, 1.62 | Process Count: 312 | Network Usage:  | Disk I/O Latency: Read:3.41 Write:8.89 | Network Latency: Min:1.423/1.534/1.755/0.117 Avg:ms Max:
2024-05-06 21:06:02 CPU Usage: 58.3% | Memory Usage: 27.33% | I/O Usage (read write): 3.41 8.89 | Docker Stats: CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
58a77735eccd   edgeservice           0.72%     223.3MiB / 1GiB       21.81%    95.2MB / 122MB    0B / 27.3MB       39
893a597ee7e4   tripmanagementquery   0.84%     299MiB / 1GiB         29.20%    55.4MB / 23.9MB   0B / 29.2MB       63
a590ec851b1e   calculationservice    0.40%     7.598MiB / 1GiB       0.74%     49MB / 61.1MB     0B / 0B           7
ee7d2be91e49   tripmanagementcmd     71.58%    393.5MiB / 1GiB       38.43%    57.8GB / 287MB    270kB / 152MB     53
542de0862de7   gmapsadapter          0.34%     69.3MiB / 1GiB        6.77%     32.7MB / 23.5MB   0B / 16.4kB       22
80cf21d912f2   notificationservice   0.10%     21.69MiB / 1GiB       2.12%     16.1MB / 3.21MB   0B / 0B           6
9bc901cb6181   userservice           0.09%     1.518GiB / 2GiB       75.91%    548kB / 627kB     0B / 21.4MB       40
4b76beba0bca   logstash              0.41%     1.079GiB / 31.34GiB   3.44%     14.2kB / 2.75kB   0B / 16.2MB       40
9d48986e2e38   kibana                3.07%     485.1MiB / 1GiB       47.37%    15.2MB / 76.9MB   0B / 8.19kB       12
169fc0d27e17   monitor               0.18%     725.6MiB / 2GiB       35.43%    30.6MB / 1.98MB   0B / 32.6MB       18
8e05f3f7005f   elasticsearch         0.63%     1.451GiB / 2GiB       72.56%    76.7MB / 14.9MB   81.9kB / 47.3MB   88
8c8b2a42cbcb   mongo                 10.80%    101.6MiB / 1GiB       9.92%     246MB / 57.8GB    41kB / 183MB      23
7cac5634af4e   rabbitmq              61.15%    104.1MiB / 512MiB     20.33%    96.2MB / 94.3MB   0B / 3.34MB       41
0d83340eb2a1   mysqlserver           0.06%     177.8MiB / 1GiB       17.36%    285kB / 346kB     0B / 13.1MB       38
bad4d64f3501   discoveryservice      0.66%     917.6MiB / 1GiB       89.61%    2.03MB / 1.65MB   0B / 14.1MB       63 | Load Average:  2.06, 2.17, 1.61 | Process Count: 312 | Network Usage:  | Disk I/O Latency: Read:3.41 Write:8.89 | Network Latency: Min:1.481/1.602/1.747/0.088 Avg:ms Max:
2024-05-06 21:06:10 CPU Usage: 63.6% | Memory Usage: 27.33% | I/O Usage (read write): 3.41 8.89 | Docker Stats: CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
58a77735eccd   edgeservice           0.69%     223.3MiB / 1GiB       21.81%    95.2MB / 122MB    0B / 27.3MB       39
893a597ee7e4   tripmanagementquery   0.95%     299MiB / 1GiB         29.20%    55.5MB / 23.9MB   0B / 29.2MB       63
a590ec851b1e   calculationservice    0.39%     7.613MiB / 1GiB       0.74%     49.1MB / 61.1MB   0B / 0B           7
ee7d2be91e49   tripmanagementcmd     78.32%    393.7MiB / 1GiB       38.45%    58GB / 288MB      270kB / 152MB     53
542de0862de7   gmapsadapter          0.25%     70.19MiB / 1GiB       6.85%     32.7MB / 23.5MB   0B / 16.4kB       22
80cf21d912f2   notificationservice   0.11%     21.5MiB / 1GiB        2.10%     16.1MB / 3.21MB   0B / 0B           6
9bc901cb6181   userservice           0.10%     1.518GiB / 2GiB       75.91%    548kB / 628kB     0B / 21.5MB       40
4b76beba0bca   logstash              0.41%     1.079GiB / 31.34GiB   3.44%     14.2kB / 2.75kB   0B / 16.2MB       40
9d48986e2e38   kibana                3.51%     485.1MiB / 1GiB       47.37%    15.2MB / 77MB     0B / 8.19kB       12
169fc0d27e17   monitor               0.21%     725.6MiB / 2GiB       35.43%    30.6MB / 1.99MB   0B / 32.6MB       18
8e05f3f7005f   elasticsearch         0.84%     1.451GiB / 2GiB       72.56%    76.8MB / 14.9MB   81.9kB / 47.3MB   88
8c8b2a42cbcb   mongo                 10.83%    101.8MiB / 1GiB       9.94%     247MB / 58GB      41kB / 183MB      23
7cac5634af4e   rabbitmq              1.92%     103.9MiB / 512MiB     20.30%    96.3MB / 94.5MB   0B / 3.34MB       40
0d83340eb2a1   mysqlserver           0.06%     177.8MiB / 1GiB       17.36%    285kB / 346kB     0B / 13.1MB       38
bad4d64f3501   discoveryservice      0.80%     917.6MiB / 1GiB       89.61%    2.03MB / 1.66MB   0B / 14.2MB       63 | Load Average:  1.90, 2.14, 1.61 | Process Count: 312 | Network Usage:  | Disk I/O Latency: Read:3.41 Write:8.89 | Network Latency: Min:1.513/1.679/1.844/0.114 Avg:ms Max:
2024-05-06 21:06:18 CPU Usage: 62.5% | Memory Usage: 27.35% | I/O Usage (read write): 3.41 8.89 | Docker Stats: CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
58a77735eccd   edgeservice           0.63%     223.3MiB / 1GiB       21.81%    95.3MB / 122MB    0B / 27.3MB       39
893a597ee7e4   tripmanagementquery   0.81%     299MiB / 1GiB         29.20%    55.5MB / 23.9MB   0B / 29.2MB       63
a590ec851b1e   calculationservice    0.35%     7.617MiB / 1GiB       0.74%     49.2MB / 61.2MB   0B / 0B           7
ee7d2be91e49   tripmanagementcmd     77.15%    393.7MiB / 1GiB       38.44%    58.1GB / 289MB    270kB / 152MB     53
542de0862de7   gmapsadapter          0.34%     70.2MiB / 1GiB        6.86%     32.8MB / 23.5MB   0B / 16.4kB       22
80cf21d912f2   notificationservice   0.10%     21.5MiB / 1GiB        2.10%     16.1MB / 3.21MB   0B / 0B           6
9bc901cb6181   userservice           0.10%     1.518GiB / 2GiB       75.91%    548kB / 628kB     0B / 21.5MB       40
4b76beba0bca   logstash              0.36%     1.079GiB / 31.34GiB   3.44%     14.2kB / 2.75kB   0B / 16.2MB       40
9d48986e2e38   kibana                3.10%     485.1MiB / 1GiB       47.37%    15.2MB / 77MB     0B / 8.19kB       12
169fc0d27e17   monitor               0.20%     725.6MiB / 2GiB       35.43%    30.7MB / 1.99MB   0B / 32.6MB       18
8e05f3f7005f   elasticsearch         0.51%     1.451GiB / 2GiB       72.56%    76.8MB / 14.9MB   81.9kB / 47.3MB   88
8c8b2a42cbcb   mongo                 10.74%    102MiB / 1GiB         9.96%     247MB / 58.1GB    41kB / 183MB      23
7cac5634af4e   rabbitmq              2.74%     103.9MiB / 512MiB     20.30%    96.4MB / 94.6MB   0B / 3.34MB       40
0d83340eb2a1   mysqlserver           0.06%     177.8MiB / 1GiB       17.36%    285kB / 346kB     0B / 13.1MB       38
bad4d64f3501   discoveryservice      0.46%     917.6MiB / 1GiB       89.61%    2.03MB / 1.66MB   0B / 14.2MB       63 | Load Average:  1.83, 2.12, 1.60 | Process Count: 312 | Network Usage:  | Disk I/O Latency: Read:3.41 Write:8.89 | Network Latency: Min:1.441/1.514/1.617/0.072 Avg:ms Max:
2024-05-06 21:06:26 CPU Usage: 57.6% | Memory Usage: 27.34% | I/O Usage (read write): 3.41 8.89 | Docker Stats: CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
58a77735eccd   edgeservice           0.86%     223.3MiB / 1GiB       21.81%    95.3MB / 122MB    0B / 27.3MB       39
893a597ee7e4   tripmanagementquery   1.03%     299MiB / 1GiB         29.20%    55.6MB / 23.9MB   0B / 29.2MB       63
a590ec851b1e   calculationservice    0.38%     7.617MiB / 1GiB       0.74%     49.2MB / 61.3MB   0B / 0B           7
ee7d2be91e49   tripmanagementcmd     73.27%    393.8MiB / 1GiB       38.46%    58.3GB / 289MB    270kB / 152MB     53
542de0862de7   gmapsadapter          0.25%     70.12MiB / 1GiB       6.85%     32.8MB / 23.5MB   0B / 16.4kB       22
80cf21d912f2   notificationservice   0.10%     21.5MiB / 1GiB        2.10%     16.1MB / 3.21MB   0B / 0B           6
9bc901cb6181   userservice           0.13%     1.518GiB / 2GiB       75.91%    548kB / 628kB     0B / 21.5MB       40
4b76beba0bca   logstash              0.78%     1.079GiB / 31.34GiB   3.44%     14.2kB / 2.75kB   0B / 16.2MB       40
9d48986e2e38   kibana                3.40%     485.1MiB / 1GiB       47.37%    15.2MB / 77.1MB   0B / 8.19kB       12
169fc0d27e17   monitor               0.22%     725.6MiB / 2GiB       35.43%    30.7MB / 2MB      0B / 32.6MB       18
8e05f3f7005f   elasticsearch         0.30%     1.451GiB / 2GiB       72.56%    76.9MB / 14.9MB   81.9kB / 47.3MB   88
8c8b2a42cbcb   mongo                 12.69%    101.9MiB / 1GiB       9.95%     248MB / 58.3GB    41kB / 184MB      23
7cac5634af4e   rabbitmq              2.73%     103.4MiB / 512MiB     20.19%    96.5MB / 94.7MB   0B / 3.34MB       40
0d83340eb2a1   mysqlserver           0.07%     177.8MiB / 1GiB       17.36%    285kB / 346kB     0B / 13.1MB       38
bad4d64f3501   discoveryservice      0.57%     917.6MiB / 1GiB       89.61%    2.03MB / 1.66MB   0B / 14.2MB       63 | Load Average:  1.78, 2.10, 1.60 | Process Count: 312 | Network Usage:  | Disk I/O Latency: Read:3.41 Write:8.89 | Network Latency: Min:1.416/1.540/1.688/0.104 Avg:ms Max:
2024-05-06 21:06:33 CPU Usage: 58.8% | Memory Usage: 27.34% | I/O Usage (read write): 3.41 8.89 | Docker Stats: CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
58a77735eccd   edgeservice           0.88%     223.3MiB / 1GiB       21.81%    95.3MB / 122MB    0B / 27.4MB       39
893a597ee7e4   tripmanagementquery   0.93%     299MiB / 1GiB         29.20%    55.6MB / 23.9MB   0B / 29.2MB       63
a590ec851b1e   calculationservice    0.40%     7.617MiB / 1GiB       0.74%     49.3MB / 61.3MB   0B / 0B           7
ee7d2be91e49   tripmanagementcmd     74.16%    393.8MiB / 1GiB       38.45%    58.4GB / 290MB    270kB / 152MB     53
542de0862de7   gmapsadapter          0.25%     70.04MiB / 1GiB       6.84%     32.8MB / 23.6MB   0B / 16.4kB       22
80cf21d912f2   notificationservice   0.12%     21.5MiB / 1GiB        2.10%     16.1MB / 3.22MB   0B / 0B           6
9bc901cb6181   userservice           0.12%     1.518GiB / 2GiB       75.91%    548kB / 628kB     0B / 21.5MB       40
4b76beba0bca   logstash              0.44%     1.079GiB / 31.34GiB   3.44%     14.2kB / 2.75kB   0B / 16.2MB       40
9d48986e2e38   kibana                3.90%     485.1MiB / 1GiB       47.37%    15.2MB / 77.1MB   0B / 8.19kB       12
169fc0d27e17   monitor               0.22%     725.6MiB / 2GiB       35.43%    30.8MB / 2MB      0B / 32.7MB       18
8e05f3f7005f   elasticsearch         0.87%     1.451GiB / 2GiB       72.57%    76.9MB / 14.9MB   81.9kB / 47.3MB   89
8c8b2a42cbcb   mongo                 11.59%    101.8MiB / 1GiB       9.94%     248MB / 58.4GB    41kB / 184MB      23
7cac5634af4e   rabbitmq              3.23%     103.4MiB / 512MiB     20.19%    96.6MB / 94.8MB   0B / 3.34MB       40
0d83340eb2a1   mysqlserver           0.06%     177.8MiB / 1GiB       17.36%    285kB / 346kB     0B / 13.1MB       38
bad4d64f3501   discoveryservice      0.94%     917.6MiB / 1GiB       89.61%    2.03MB / 1.66MB   0B / 14.2MB       63 | Load Average:  2.20, 2.18, 1.63 | Process Count: 312 | Network Usage:  | Disk I/O Latency: Read:3.41 Write:8.89 | Network Latency: Min:1.450/1.612/1.808/0.123 Avg:ms Max:
2024-05-06 21:06:41 CPU Usage: 64.7% | Memory Usage: 27.33% | I/O Usage (read write): 3.41 8.89 | Docker Stats: CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
58a77735eccd   edgeservice           0.75%     223.3MiB / 1GiB       21.81%    95.4MB / 122MB    0B / 27.4MB       39
893a597ee7e4   tripmanagementquery   0.87%     299MiB / 1GiB         29.20%    55.7MB / 23.9MB   0B / 29.3MB       63
a590ec851b1e   calculationservice    0.37%     7.617MiB / 1GiB       0.74%     49.3MB / 61.4MB   0B / 0B           7
ee7d2be91e49   tripmanagementcmd     73.62%    393.8MiB / 1GiB       38.46%    58.6GB / 290MB    270kB / 153MB     53
542de0862de7   gmapsadapter          0.72%     70.05MiB / 1GiB       6.84%     32.8MB / 23.6MB   0B / 16.4kB       22
80cf21d912f2   notificationservice   0.12%     21.5MiB / 1GiB        2.10%     16.2MB / 3.22MB   0B / 0B           6
9bc901cb6181   userservice           0.10%     1.518GiB / 2GiB       75.91%    549kB / 629kB     0B / 21.5MB       40
4b76beba0bca   logstash              0.45%     1.079GiB / 31.34GiB   3.44%     14.2kB / 2.75kB   0B / 16.2MB       40
9d48986e2e38   kibana                3.28%     485.1MiB / 1GiB       47.37%    15.2MB / 77.2MB   0B / 8.19kB       12
169fc0d27e17   monitor               0.23%     725.6MiB / 2GiB       35.43%    30.8MB / 2MB      0B / 32.7MB       18
8e05f3f7005f   elasticsearch         0.29%     1.451GiB / 2GiB       72.57%    77MB / 15MB       81.9kB / 47.4MB   89
8c8b2a42cbcb   mongo                 11.89%    102MiB / 1GiB         9.96%     249MB / 58.5GB    41kB / 184MB      23
7cac5634af4e   rabbitmq              2.04%     103.8MiB / 512MiB     20.28%    96.7MB / 94.9MB   0B / 3.34MB       40
0d83340eb2a1   mysqlserver           0.07%     177.8MiB / 1GiB       17.36%    285kB / 346kB     0B / 13.1MB       38
bad4d64f3501   discoveryservice      0.45%     917.6MiB / 1GiB       89.61%    2.03MB / 1.66MB   0B / 14.2MB       63 | Load Average:  2.64, 2.27, 1.67 | Process Count: 312 | Network Usage:  | Disk I/O Latency: Read:3.41 Write:8.89 | Network Latency: Min:1.401/1.496/1.592/0.068 Avg:ms Max:
2024-05-06 21:06:49 CPU Usage: 66.7% | Memory Usage: 27.35% | I/O Usage (read write): 3.41 8.89 | Docker Stats: CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
58a77735eccd   edgeservice           0.67%     223.3MiB / 1GiB       21.81%    95.4MB / 122MB    0B / 27.4MB       39
893a597ee7e4   tripmanagementquery   0.84%     299MiB / 1GiB         29.20%    55.7MB / 23.9MB   0B / 29.3MB       63
a590ec851b1e   calculationservice    0.40%     7.621MiB / 1GiB       0.74%     49.4MB / 61.4MB   0B / 0B           7
ee7d2be91e49   tripmanagementcmd     71.27%    397.9MiB / 1GiB       38.86%    58.7GB / 291MB    270kB / 153MB     53
542de0862de7   gmapsadapter          0.22%     69.94MiB / 1GiB       6.83%     32.8MB / 23.6MB   0B / 16.4kB       22
80cf21d912f2   notificationservice   0.10%     21.5MiB / 1GiB        2.10%     16.2MB / 3.22MB   0B / 0B           6
9bc901cb6181   userservice           0.10%     1.518GiB / 2GiB       75.91%    549kB / 629kB     0B / 21.5MB       40
4b76beba0bca   logstash              0.72%     1.079GiB / 31.34GiB   3.44%     14.2kB / 2.75kB   0B / 16.3MB       40
9d48986e2e38   kibana                2.70%     485.1MiB / 1GiB       47.37%    15.3MB / 77.2MB   0B / 8.19kB       12
169fc0d27e17   monitor               0.19%     725.6MiB / 2GiB       35.43%    30.9MB / 2.01MB   0B / 32.7MB       18
8e05f3f7005f   elasticsearch         0.43%     1.451GiB / 2GiB       72.57%    77MB / 15MB       81.9kB / 47.4MB   89
8c8b2a42cbcb   mongo                 11.58%    101.9MiB / 1GiB       9.95%     249MB / 58.7GB    41kB / 185MB      23
7cac5634af4e   rabbitmq              2.88%     103.4MiB / 512MiB     20.19%    96.8MB / 95MB     0B / 3.34MB       40
0d83340eb2a1   mysqlserver           0.07%     177.8MiB / 1GiB       17.36%    285kB / 346kB     0B / 13.1MB       38
bad4d64f3501   discoveryservice      0.76%     917.6MiB / 1GiB       89.61%    2.04MB / 1.66MB   0B / 14.2MB       63 | Load Average:  2.51, 2.25, 1.67 | Process Count: 312 | Network Usage:  | Disk I/O Latency: Read:3.41 Write:8.89 | Network Latency: Min:1.587/1.716/1.840/0.092 Avg:ms Max:
2024-05-06 21:06:57 CPU Usage: 56.2% | Memory Usage: 27.35% | I/O Usage (read write): 3.41 8.89 | Docker Stats: CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
58a77735eccd   edgeservice           0.66%     223.3MiB / 1GiB       21.81%    95.5MB / 122MB    0B / 27.4MB       39
893a597ee7e4   tripmanagementquery   0.73%     299MiB / 1GiB         29.20%    55.8MB / 24MB     0B / 29.3MB       63
a590ec851b1e   calculationservice    0.37%     7.621MiB / 1GiB       0.74%     49.4MB / 61.5MB   0B / 0B           7
ee7d2be91e49   tripmanagementcmd     68.83%    393.9MiB / 1GiB       38.47%    58.8GB / 291MB    270kB / 153MB     53
542de0862de7   gmapsadapter          0.24%     69.81MiB / 1GiB       6.82%     32.9MB / 23.6MB   0B / 16.4kB       22
80cf21d912f2   notificationservice   0.11%     21.5MiB / 1GiB        2.10%     16.2MB / 3.23MB   0B / 0B           6
9bc901cb6181   userservice           0.09%     1.518GiB / 2GiB       75.91%    549kB / 629kB     0B / 21.6MB       40
4b76beba0bca   logstash              0.41%     1.079GiB / 31.34GiB   3.44%     14.2kB / 2.75kB   0B / 16.3MB       40
9d48986e2e38   kibana                3.13%     485.1MiB / 1GiB       47.37%    15.3MB / 77.3MB   0B / 8.19kB       12
169fc0d27e17   monitor               2.71%     725.6MiB / 2GiB       35.43%    31MB / 2.01MB     0B / 32.7MB       18
8e05f3f7005f   elasticsearch         0.90%     1.451GiB / 2GiB       72.57%    77.1MB / 15MB     81.9kB / 47.4MB   89
8c8b2a42cbcb   mongo                 9.96%     101.9MiB / 1GiB       9.95%     249MB / 58.8GB    41kB / 185MB      23
7cac5634af4e   rabbitmq              41.89%    103.4MiB / 512MiB     20.19%    96.9MB / 95.1MB   0B / 3.34MB       40
0d83340eb2a1   mysqlserver           0.06%     177.8MiB / 1GiB       17.36%    285kB / 346kB     0B / 13.1MB       38
bad4d64f3501   discoveryservice      0.86%     917.6MiB / 1GiB       89.61%    2.04MB / 1.66MB   0B / 14.3MB       63 | Load Average:  2.59, 2.27, 1.68 | Process Count: 312 | Network Usage:  | Disk I/O Latency: Read:3.41 Write:8.89 | Network Latency: Min:1.446/1.677/1.856/0.157 Avg:ms Max:
2024-05-06 21:07:05 CPU Usage: 57.6% | Memory Usage: 27.34% | I/O Usage (read write): 3.41 8.89 | Docker Stats: CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
58a77735eccd   edgeservice           0.67%     223.3MiB / 1GiB       21.81%    95.5MB / 122MB    0B / 27.5MB       39
893a597ee7e4   tripmanagementquery   0.87%     299MiB / 1GiB         29.20%    55.8MB / 24MB     0B / 29.3MB       63
a590ec851b1e   calculationservice    0.41%     7.617MiB / 1GiB       0.74%     49.5MB / 61.6MB   0B / 0B           7
ee7d2be91e49   tripmanagementcmd     77.03%    394MiB / 1GiB         38.48%    59GB / 292MB      270kB / 153MB     53
542de0862de7   gmapsadapter          0.30%     69.68MiB / 1GiB       6.81%     32.9MB / 23.6MB   0B / 16.4kB       22
80cf21d912f2   notificationservice   0.12%     21.5MiB / 1GiB        2.10%     16.2MB / 3.23MB   0B / 0B           6
9bc901cb6181   userservice           0.59%     1.518GiB / 2GiB       75.91%    549kB / 630kB     0B / 21.6MB       40
4b76beba0bca   logstash              0.50%     1.079GiB / 31.34GiB   3.44%     14.2kB / 2.75kB   0B / 16.3MB       40
9d48986e2e38   kibana                2.51%     485.1MiB / 1GiB       47.37%    15.3MB / 77.3MB   0B / 8.19kB       12
169fc0d27e17   monitor               0.21%     725.6MiB / 2GiB       35.43%    31MB / 2.02MB     0B / 32.8MB       18
8e05f3f7005f   elasticsearch         0.87%     1.451GiB / 2GiB       72.57%    77.1MB / 15MB     81.9kB / 47.4MB   89
8c8b2a42cbcb   mongo                 12.33%    102MiB / 1GiB         9.96%     250MB / 59GB      41kB / 185MB      23
7cac5634af4e   rabbitmq              2.11%     103.4MiB / 512MiB     20.19%    97MB / 95.2MB     0B / 3.34MB       40
0d83340eb2a1   mysqlserver           0.06%     177.8MiB / 1GiB       17.36%    285kB / 346kB     0B / 13.1MB       38
bad4d64f3501   discoveryservice      0.71%     917.6MiB / 1GiB       89.61%    2.04MB / 1.66MB   0B / 14.3MB       63 | Load Average:  2.35, 2.23, 1.67 | Process Count: 312 | Network Usage:  | Disk I/O Latency: Read:3.41 Write:8.89 | Network Latency: Min:1.571/1.658/1.792/0.084 Avg:ms Max:
2024-05-06 21:07:13 CPU Usage: 100% | Memory Usage: 27.34% | I/O Usage (read write): 3.41 8.89 | Docker Stats: CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
58a77735eccd   edgeservice           0.69%     223.3MiB / 1GiB       21.81%    95.5MB / 122MB    0B / 27.5MB       39
893a597ee7e4   tripmanagementquery   0.81%     299MiB / 1GiB         29.20%    55.8MB / 24MB     0B / 29.3MB       63
a590ec851b1e   calculationservice    0.39%     7.648MiB / 1GiB       0.75%     49.5MB / 61.6MB   0B / 0B           7
ee7d2be91e49   tripmanagementcmd     69.19%    394MiB / 1GiB         38.48%    59.1GB / 292MB    270kB / 153MB     53
542de0862de7   gmapsadapter          0.22%     69.64MiB / 1GiB       6.80%     32.9MB / 23.7MB   0B / 16.4kB       22
80cf21d912f2   notificationservice   0.11%     21.5MiB / 1GiB        2.10%     16.2MB / 3.23MB   0B / 0B           6
9bc901cb6181   userservice           0.08%     1.518GiB / 2GiB       75.91%    549kB / 630kB     0B / 21.6MB       40
4b76beba0bca   logstash              0.40%     1.079GiB / 31.34GiB   3.44%     14.2kB / 2.75kB   0B / 16.3MB       40
9d48986e2e38   kibana                3.75%     484.6MiB / 1GiB       47.32%    15.3MB / 77.4MB   0B / 8.19kB       12
169fc0d27e17   monitor               2.63%     725.6MiB / 2GiB       35.43%    31.1MB / 2.02MB   0B / 32.8MB       18
8e05f3f7005f   elasticsearch         0.94%     1.451GiB / 2GiB       72.57%    77.2MB / 15MB     81.9kB / 47.4MB   89
8c8b2a42cbcb   mongo                 11.52%    102MiB / 1GiB         9.96%     250MB / 59.1GB    41kB / 185MB      23
7cac5634af4e   rabbitmq              2.07%     103.7MiB / 512MiB     20.26%    97.1MB / 95.3MB   0B / 3.34MB       40
0d83340eb2a1   mysqlserver           0.07%     177.8MiB / 1GiB       17.36%    285kB / 346kB     0B / 13.1MB       38
bad4d64f3501   discoveryservice      0.99%     917.6MiB / 1GiB       89.61%    2.04MB / 1.67MB   0B / 14.3MB       63 | Load Average:  2.24, 2.21, 1.67 | Process Count: 313 | Network Usage:  | Disk I/O Latency: Read:3.41 Write:8.89 | Network Latency: Min:1.390/1.544/1.784/0.147 Avg:ms Max:
2024-05-06 21:07:21 CPU Usage: 61.8% | Memory Usage: 27.35% | I/O Usage (read write): 3.41 8.89 | Docker Stats: CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
58a77735eccd   edgeservice           0.81%     223.3MiB / 1GiB       21.81%    95.6MB / 122MB    0B / 27.5MB       39
893a597ee7e4   tripmanagementquery   0.98%     299MiB / 1GiB         29.20%    55.9MB / 24MB     0B / 29.4MB       63
a590ec851b1e   calculationservice    0.43%     7.52MiB / 1GiB        0.73%     49.6MB / 61.7MB   0B / 0B           7
ee7d2be91e49   tripmanagementcmd     74.30%    394MiB / 1GiB         38.48%    59.3GB / 293MB    270kB / 153MB     53
542de0862de7   gmapsadapter          0.36%     69.5MiB / 1GiB        6.79%     32.9MB / 23.7MB   0B / 16.4kB       22
80cf21d912f2   notificationservice   0.14%     21.5MiB / 1GiB        2.10%     16.2MB / 3.23MB   0B / 0B           6
9bc901cb6181   userservice           0.13%     1.518GiB / 2GiB       75.91%    549kB / 630kB     0B / 21.6MB       40
4b76beba0bca   logstash              0.73%     1.079GiB / 31.34GiB   3.44%     14.2kB / 2.75kB   0B / 16.3MB       40
9d48986e2e38   kibana                4.22%     484.6MiB / 1GiB       47.33%    15.3MB / 77.4MB   0B / 8.19kB       12
169fc0d27e17   monitor               0.21%     725.6MiB / 2GiB       35.43%    31.1MB / 2.02MB   0B / 32.8MB       18
8e05f3f7005f   elasticsearch         0.69%     1.451GiB / 2GiB       72.57%    77.2MB / 15MB     81.9kB / 47.5MB   89
8c8b2a42cbcb   mongo                 12.55%    102.2MiB / 1GiB       9.98%     251MB / 59.2GB    41kB / 185MB      23
7cac5634af4e   rabbitmq              2.02%     103.8MiB / 512MiB     20.27%    97.2MB / 95.4MB   0B / 3.34MB       40
0d83340eb2a1   mysqlserver           0.07%     177.8MiB / 1GiB       17.36%    285kB / 346kB     0B / 13.1MB       38
bad4d64f3501   discoveryservice      0.60%     917.6MiB / 1GiB       89.61%    2.04MB / 1.67MB   0B / 14.3MB       63 | Load Average:  2.49, 2.27, 1.69 | Process Count: 312 | Network Usage:  | Disk I/O Latency: Read:3.41 Write:8.89 | Network Latency: Min:1.463/1.578/1.718/0.090 Avg:ms Max:
2024-05-06 21:07:28 CPU Usage: 55.9% | Memory Usage: 27.34% | I/O Usage (read write): 3.41 8.89 | Docker Stats: CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
58a77735eccd   edgeservice           0.76%     223.3MiB / 1GiB       21.81%    95.6MB / 122MB    0B / 27.5MB       39
893a597ee7e4   tripmanagementquery   0.84%     299MiB / 1GiB         29.20%    55.9MB / 24MB     0B / 29.4MB       63
a590ec851b1e   calculationservice    0.41%     7.562MiB / 1GiB       0.74%     49.6MB / 61.7MB   0B / 0B           7
ee7d2be91e49   tripmanagementcmd     72.26%    394.2MiB / 1GiB       38.49%    59.4GB / 294MB    270kB / 153MB     53
542de0862de7   gmapsadapter          0.22%     70.36MiB / 1GiB       6.87%     32.9MB / 23.7MB   0B / 16.4kB       22
80cf21d912f2   notificationservice   0.11%     21.5MiB / 1GiB        2.10%     16.2MB / 3.24MB   0B / 0B           6
9bc901cb6181   userservice           0.09%     1.518GiB / 2GiB       75.91%    549kB / 630kB     0B / 21.6MB       40
