2024-05-14 20:40:56 CPU Usage: 68.6% | Memory Usage: 23.25% | I/O Usage (read write): 3.38 8.27 | Docker Stats:  | Load Average:  1.26, 4.44, 3.25 | Process Count: 318 | Network Usage:  | Disk I/O Latency: Read:3.38 Write:8.27 | Network Latency: Min:1.596/1.829/2.065/0.158 Avg:ms Max:
2024-05-14 20:41:12 CPU Usage: 20.6% | Memory Usage: 23.25% | I/O Usage (read write): 3.38 8.27 | Docker Stats:  | Load Average:  0.98, 4.22, 3.19 | Process Count: 316 | Network Usage:  | Disk I/O Latency: Read:3.38 Write:8.27 | Network Latency: Min:1.574/1.907/2.131/0.196 Avg:ms Max:
2024-05-14 20:41:17 CPU Usage: 9.4% | Memory Usage: 23.25% | I/O Usage (read write): 3.38 8.27 | Docker Stats:  | Load Average:  0.90, 4.15, 3.18 | Process Count: 317 | Network Usage:  | Disk I/O Latency: Read:3.38 Write:8.27 | Network Latency: Min:1.798/1.888/1.988/0.076 Avg:ms Max:
2024-05-14 20:41:22 CPU Usage: 100% | Memory Usage: 23.60% | I/O Usage (read write): 3.38 8.27 | Docker Stats:  | Load Average:  1.23, 4.17, 3.19 | Process Count: 317 | Network Usage:  | Disk I/O Latency: Read:3.38 Write:8.27 | Network Latency: Min:1.423/1.914/2.145/0.259 Avg:ms Max:
2024-05-14 20:41:27 CPU Usage: 57.6% | Memory Usage: 23.76% | I/O Usage (read write): 3.38 8.27 | Docker Stats:  | Load Average:  1.37, 4.15, 3.19 | Process Count: 316 | Network Usage:  | Disk I/O Latency: Read:3.38 Write:8.27 | Network Latency: Min:1.482/1.741/1.880/0.139 Avg:ms Max:
2024-05-14 20:41:32 CPU Usage: 57.6% | Memory Usage: 23.79% | I/O Usage (read write): 3.38 8.27 | Docker Stats:  | Load Average:  1.42, 4.11, 3.18 | Process Count: 317 | Network Usage:  | Disk I/O Latency: Read:3.38 Write:8.27 | Network Latency: Min:1.411/1.753/1.988/0.228 Avg:ms Max:
2024-05-14 20:41:38 CPU Usage: 42.9% | Memory Usage: 23.81% | I/O Usage (read write): 3.38 8.27 | Docker Stats:  | Load Average:  1.95, 4.18, 3.20 | Process Count: 317 | Network Usage:  | Disk I/O Latency: Read:3.38 Write:8.27 | Network Latency: Min:1.502/1.585/1.850/0.132 Avg:ms Max:
2024-05-14 20:41:43 CPU Usage: 65.7% | Memory Usage: 23.84% | I/O Usage (read write): 3.38 8.27 | Docker Stats:  | Load Average:  2.03, 4.16, 3.20 | Process Count: 317 | Network Usage:  | Disk I/O Latency: Read:3.38 Write:8.27 | Network Latency: Min:1.486/1.773/2.215/0.254 Avg:ms Max:
2024-05-14 20:41:48 CPU Usage: 67.6% | Memory Usage: 23.84% | I/O Usage (read write): 3.38 8.27 | Docker Stats:  | Load Average:  2.03, 4.12, 3.20 | Process Count: 318 | Network Usage:  | Disk I/O Latency: Read:3.38 Write:8.27 | Network Latency: Min:1.306/1.509/1.697/0.155 Avg:ms Max:
2024-05-14 20:41:53 CPU Usage: 12.1% | Memory Usage: 23.84% | I/O Usage (read write): 3.38 8.27 | Docker Stats:  | Load Average:  2.51, 4.18, 3.22 | Process Count: 316 | Network Usage:  | Disk I/O Latency: Read:3.38 Write:8.27 | Network Latency: Min:1.709/1.799/1.891/0.060 Avg:ms Max:
2024-05-14 20:41:58 CPU Usage: 9.4% | Memory Usage: 23.81% | I/O Usage (read write): 3.38 8.27 | Docker Stats:  | Load Average:  2.31, 4.12, 3.20 | Process Count: 315 | Network Usage:  | Disk I/O Latency: Read:3.38 Write:8.27 | Network Latency: Min:1.727/1.911/2.124/0.142 Avg:ms Max:
2024-05-14 20:42:03 CPU Usage: 12.5% | Memory Usage: 23.82% | I/O Usage (read write): 3.38 8.27 | Docker Stats:  | Load Average:  2.20, 4.06, 3.19 | Process Count: 316 | Network Usage:  | Disk I/O Latency: Read:3.38 Write:8.27 | Network Latency: Min:1.551/1.841/2.269/0.234 Avg:ms Max:
2024-05-14 20:42:09 CPU Usage: 6.5% | Memory Usage: 23.82% | I/O Usage (read write): 3.38 8.27 | Docker Stats:  | Load Average:  2.02, 4.00, 3.18 | Process Count: 316 | Network Usage:  | Disk I/O Latency: Read:3.38 Write:8.27 | Network Latency: Min:1.603/1.802/1.967/0.133 Avg:ms Max:
2024-05-14 20:42:14 CPU Usage: 3.2% | Memory Usage: 23.82% | I/O Usage (read write): 3.38 8.27 | Docker Stats:  | Load Average:  1.86, 3.93, 3.16 | Process Count: 316 | Network Usage:  | Disk I/O Latency: Read:3.38 Write:8.27 | Network Latency: Min:1.706/1.849/1.914/0.077 Avg:ms Max:
2024-05-14 20:42:19 CPU Usage: 14.3% | Memory Usage: 23.82% | I/O Usage (read write): 3.38 8.27 | Docker Stats:  | Load Average:  1.71, 3.86, 3.14 | Process Count: 316 | Network Usage:  | Disk I/O Latency: Read:3.38 Write:8.27 | Network Latency: Min:1.810/2.010/2.285/0.169 Avg:ms Max:
2024-05-14 20:42:24 CPU Usage: 14.3% | Memory Usage: 23.82% | I/O Usage (read write): 3.38 8.27 | Docker Stats:  | Load Average:  1.58, 3.80, 3.12 | Process Count: 316 | Network Usage:  | Disk I/O Latency: Read:3.38 Write:8.27 | Network Latency: Min:1.530/1.872/2.098/0.190 Avg:ms Max:
2024-05-14 20:42:30 CPU Usage: 9.4% | Memory Usage: 23.82% | I/O Usage (read write): 3.38 8.27 | Docker Stats:  | Load Average:  1.45, 3.74, 3.11 | Process Count: 316 | Network Usage:  | Disk I/O Latency: Read:3.38 Write:8.27 | Network Latency: Min:1.474/1.619/1.771/0.123 Avg:ms Max:
2024-05-14 20:42:35 CPU Usage: 6.5% | Memory Usage: 23.82% | I/O Usage (read write): 3.38 8.27 | Docker Stats:  | Load Average:  1.33, 3.67, 3.09 | Process Count: 316 | Network Usage:  | Disk I/O Latency: Read:3.38 Write:8.27 | Network Latency: Min:1.694/1.847/2.307/0.231 Avg:ms Max:
2024-05-14 20:42:40 CPU Usage: 9.1% | Memory Usage: 23.82% | I/O Usage (read write): 3.38 8.27 | Docker Stats:  | Load Average:  1.23, 3.61, 3.07 | Process Count: 316 | Network Usage:  | Disk I/O Latency: Read:3.38 Write:8.27 | Network Latency: Min:1.518/1.823/2.218/0.226 Avg:ms Max:
2024-05-14 20:42:45 CPU Usage: 9.4% | Memory Usage: 23.82% | I/O Usage (read write): 3.38 8.27 | Docker Stats:  | Load Average:  1.13, 3.55, 3.06 | Process Count: 315 | Network Usage:  | Disk I/O Latency: Read:3.38 Write:8.27 | Network Latency: Min:1.749/1.896/2.252/0.183 Avg:ms Max:
2024-05-14 20:42:50 CPU Usage: 6.2% | Memory Usage: 23.82% | I/O Usage (read write): 3.38 8.27 | Docker Stats:  | Load Average:  1.04, 3.49, 3.04 | Process Count: 316 | Network Usage:  | Disk I/O Latency: Read:3.38 Write:8.27 | Network Latency: Min:1.459/1.779/2.214/0.252 Avg:ms Max:
2024-05-14 20:42:56 CPU Usage: 6.1% | Memory Usage: 23.82% | I/O Usage (read write): 3.38 8.27 | Docker Stats:  | Load Average:  0.95, 3.43, 3.02 | Process Count: 316 | Network Usage:  | Disk I/O Latency: Read:3.38 Write:8.27 | Network Latency: Min:1.608/1.826/1.983/0.127 Avg:ms Max:
2024-05-14 20:43:01 CPU Usage: 11.8% | Memory Usage: 23.81% | I/O Usage (read write): 3.38 8.27 | Docker Stats:  | Load Average:  0.88, 3.38, 3.01 | Process Count: 316 | Network Usage:  | Disk I/O Latency: Read:3.38 Write:8.27 | Network Latency: Min:1.511/1.869/2.099/0.199 Avg:ms Max:
2024-05-14 20:43:06 CPU Usage: 18.8% | Memory Usage: 23.81% | I/O Usage (read write): 3.38 8.27 | Docker Stats:  | Load Average:  0.82, 3.28, 2.98 | Process Count: 316 | Network Usage:  | Disk I/O Latency: Read:3.38 Write:8.27 | Network Latency: Min:1.493/1.776/1.999/0.168 Avg:ms Max:
2024-05-14 20:43:11 CPU Usage: 3.3% | Memory Usage: 23.82% | I/O Usage (read write): 3.38 8.27 | Docker Stats:  | Load Average:  0.76, 3.23, 2.96 | Process Count: 315 | Network Usage:  | Disk I/O Latency: Read:3.38 Write:8.27 | Network Latency: Min:1.510/1.752/1.943/0.153 Avg:ms Max:
2024-05-14 20:43:17 CPU Usage: 6.2% | Memory Usage: 23.82% | I/O Usage (read write): 3.38 8.27 | Docker Stats:  | Load Average:  0.78, 3.19, 2.95 | Process Count: 316 | Network Usage:  | Disk I/O Latency: Read:3.38 Write:8.27 | Network Latency: Min:1.762/1.952/2.257/0.184 Avg:ms Max:
